path,classification,reason,canonical_replacement,recovery_branch,recovery_tag,recovery_commit,kind
2022_NDSS_ditto WAN Traffic Obfuscation at Line Rate.pdf,DOWNLOADED_PAPER,"Publisher-copyrighted reference PDF; belongs in the reference manager, not the repository",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
7. Week 7.pptx,MEETING_SLIDES_DEMO,"Meeting, slide or demo package; not an input to any published result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
8. Week 8.pptx,MEETING_SLIDES_DEMO,"Meeting, slide or demo package; not an input to any published result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
CASE_A_QUEUE_DESIGN.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
CURRENT_STATE_AUDIT.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
Claude Code Prompt- General DNP3 Experiment Harness.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
DITTO_QUEUE_RECONSTRUCTION.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
DITTO_TO_DNP3_MAPPING.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
EVIDENCE_RECONCILIATION_REPORT.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
FORMBY_SOURCE_MAP.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
GRIDCLOAK_TM_QUEUE_AUDIT.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
OVERNIGHT_FINAL_REPORT_20260724.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
OVERNIGHT_FINAL_REPORT_20260724_gate1.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
PAPER_OUTLINE.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
PLAN.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
PyDNP3/master.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/master_cmd.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/outstation.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/outstation_cmd.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/simple_master.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/simple_outstation.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
PyDNP3/visitors.py,OBSOLETE_PROTOTYPE,Software harness from the pre-silicon phase; the final evidence is captured on hardware and reproduced from PCAPs,none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
QUEUE_MICROBENCH_PLAN.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
QUEUE_PATTERN_FROM_TRACES.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
QUEUE_VS_RECIRC_EVALUATION_PLAN.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
RESUME_STATE.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
SEL751_DIRECT_CONNECTIVITY_PLAN.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
SIZE_SPLIT_PAD_SHAPING_ANALYSIS.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
SOURCE_TO_SILICON_PROVENANCE.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
Traffic Trace/AB1400.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/AB1400L.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/ION7550.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/ION7550L.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/SEL751.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/SEL751L.pcap,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/.state/state.bst,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/conn.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/dhcp.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/dnp3.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/dns.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/dpd.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/latency.bro,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/latency_zeek.zeek,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/packet_filter.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/run.sh,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/teststring.bro,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/testtcp.bro,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/broscript/weird.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/conn.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/dnp3.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/latency.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/packet_filter.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/zeek_run/conn.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/zeek_run/dnp3.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
