Jpolicy,txn,A_ms,R_ms,echo_ack_ms
J=6ms,0,25.609,29.666,4.058
J=6ms,1,20.916,24.916,4.001
J=6ms,2,21.009,25.008,3.998
J=6ms,3,25.212,29.219,4.006
J=6ms,4,20.998,24.996,3.999
J=6ms,5,20.957,25.003,4.046
J=6ms,6,21.033,25.029,3.997
J=6ms,7,21.033,25.035,4.002
J=6ms,8,21.186,25.183,3.997
J=6ms,9,21.018,25.019,4.001
J=6ms,10,20.997,25.050,4.053
J=6ms,11,21.063,25.036,3.973
J=6ms,12,20.998,24.998,4.000
J=6ms,13,20.952,24.954,4.002
J=6ms,14,21.049,25.046,3.996
J=6ms,15,20.914,24.948,4.034
J=6ms,16,21.050,25.053,4.003
J=6ms,17,21.049,25.048,3.999
J=6ms,18,21.013,25.008,3.996
J=6ms,19,21.067,25.147,4.080
J=6ms,20,20.992,25.001,4.008
J=6ms,21,21.031,25.033,4.002
J=6ms,22,20.960,24.979,4.019
J=6ms,23,20.994,25.046,4.052
J=6ms,24,21.038,25.088,4.050
J=6ms,25,20.938,24.935,3.997
J=6ms,26,21.036,25.033,3.997
J=6ms,27,21.052,25.056,4.004
J=6ms,28,21.004,25.059,4.055
J=6ms,29,21.033,25.023,3.990
