condition,klass,index,req_to_ack_ms,ack_to_resp_ms,req_to_resp_ms
native,READ,0,0.5295,21.4839,22.0134
native,READ,1,0.524,2.229,2.753
native,READ,2,0.8445,2.1446,2.9891
native,READ,3,0.5474,1.3041,1.8516
native,READ,4,6.5484,1.2541,7.8025
native,READ,5,0.535,7.1335,7.6685
native,READ,6,0.6444,2.0964,2.7409
native,READ,7,0.7668,1.1804,1.9472
native,READ,8,1.641,1.1308,2.7719
native,READ,9,0.7873,2.0831,2.8703
native,READ,10,0.685,1.1246,1.8096
native,READ,11,10.5083,1.2727,11.781
native,READ,12,1.5929,10.3471,11.94
native,READ,13,1.9174,1.1475,3.0649
native,READ,14,0.6061,6.9797,7.5858
native,READ,15,0.6273,2.1396,2.7668
native,READ,16,0.5903,6.2275,6.8178
native,READ,17,1.5106,1.2727,2.7833
native,READ,18,0.5894,6.7265,7.3159
native,READ,19,0.6208,2.1324,2.7533
native,READ,20,0.6371,1.1673,1.8044
native,READ,21,1.6301,1.1392,2.7692
native,READ,22,5.4035,2.2464,7.6499
native,READ,23,0.5455,6.5746,7.1201
native,READ,24,0.6332,1.1339,1.7672
native,READ,25,1.6534,6.1665,7.8199
native,READ,26,0.545,2.2578,2.8028
native,READ,27,0.5395,7.2958,7.8354
native,READ,28,0.6735,1.1694,1.843
native,READ,29,1.5535,1.2209,2.7745
native,SELECT,0,0.3898,2.0518,2.4416
native,SELECT,1,0.6893,1.1516,1.8408
native,SELECT,2,0.6654,2.0928,2.7583
native,SELECT,3,0.6464,0.998,1.6444
native,SELECT,4,1.6222,0.9553,2.5775
native,SELECT,5,0.489,2.1267,2.6157
native,SELECT,6,0.6351,1.0295,1.6646
native,SELECT,7,1.6224,1.0011,2.6236
native,SELECT,8,0.5233,2.1646,2.6879
native,SELECT,9,0.5949,1.0984,1.6932
native,SELECT,10,1.61,0.993,2.6031
native,SELECT,11,0.5343,1.0614,1.5957
native,SELECT,12,1.5888,1.0478,2.6367
native,SELECT,13,0.5856,1.9469,2.5325
native,SELECT,14,0.5167,1.2162,1.7328
native,SELECT,15,1.595,0.9806,2.5756
native,SELECT,16,0.5472,2.0254,2.5725
native,SELECT,17,0.5958,1.0118,1.6077
native,SELECT,18,1.673,0.9379,2.6109
native,SELECT,19,0.4978,1.1005,1.5984
native,SELECT,20,1.5969,1.0657,2.6627
native,SELECT,21,0.5095,2.1083,2.6178
native,SELECT,22,0.6547,1.0149,1.6696
native,SELECT,23,1.5941,0.9017,2.4958
native,SELECT,24,4.6718,2.2714,6.9432
native,SELECT,25,0.5383,1.0557,1.5941
native,SELECT,26,1.6093,1.0173,2.6267
native,SELECT,27,0.5465,2.0404,2.5868
native,SELECT,28,0.6444,0.9992,1.6437
native,SELECT,29,0.5565,2.0008,2.5573
defended,READ,0,2.5713,20.0245,22.5959
defended,READ,1,3.18,19.9978,23.1779
defended,READ,2,2.6188,20.0064,22.6252
defended,READ,3,2.6395,20.0026,22.6421
defended,READ,4,3.5958,19.9995,23.5953
defended,READ,5,2.6293,20.0014,22.6307
defended,READ,6,3.3865,20.0036,23.3901
defended,READ,7,2.7571,20.004,22.7611
defended,READ,8,2.6336,20.0019,22.6355
defended,READ,9,3.5989,20.0071,23.6061
defended,READ,10,2.6739,20.0031,22.6769
defended,READ,11,3.237,20.025,23.262
defended,READ,12,2.6252,20.0088,22.634
defended,READ,13,2.6286,20.0062,22.6347
defended,READ,14,2.6181,20.0028,22.6209
defended,READ,15,2.6369,19.995,22.6319
defended,READ,16,2.629,20.0026,22.6316
defended,READ,17,2.6512,20.005,22.6562
defended,READ,18,3.7057,19.9986,23.7043
defended,READ,19,2.6574,20.0052,22.6626
defended,READ,20,3.0932,20.0009,23.0942
defended,READ,21,2.6519,20.0019,22.6538
defended,READ,22,2.634,20.0055,22.6395
defended,READ,23,2.6438,20.0009,22.6448
defended,READ,24,2.8377,20.0031,22.8407
defended,READ,25,3.6886,19.995,23.6835
defended,READ,26,2.6519,19.9988,22.6507
defended,READ,27,3.0732,19.9959,23.0691
defended,READ,28,2.6197,20.0109,22.6307
defended,READ,29,2.6453,20.0212,22.6665
defended,SELECT,0,2.5175,19.932,22.4495
defended,SELECT,1,3.2918,20.0,23.2918
defended,SELECT,2,2.5833,19.9761,22.5594
defended,SELECT,3,2.5635,20.0033,22.5668
defended,SELECT,4,2.5976,19.9983,22.5959
defended,SELECT,5,2.5761,20.005,22.5811
defended,SELECT,6,2.5935,20.0021,22.5956
defended,SELECT,7,2.6441,20.0045,22.6486
defended,SELECT,8,3.6278,19.9983,23.6261
defended,SELECT,9,2.6019,19.9952,22.5971
defended,SELECT,10,2.9881,20.0024,22.9905
defended,SELECT,11,2.6524,19.9864,22.6388
defended,SELECT,12,2.6515,19.9952,22.6467
defended,SELECT,13,2.6014,20.0002,22.6016
defended,SELECT,14,2.6,20.0024,22.6023
defended,SELECT,15,2.5895,20.0062,22.5956
defended,SELECT,16,2.6903,19.9971,22.6874
defended,SELECT,17,3.6612,20.0021,23.6633
defended,SELECT,18,2.6126,19.994,22.6066
defended,SELECT,19,2.9414,19.9795,22.9208
defended,SELECT,20,2.6181,19.9964,22.6145
defended,SELECT,21,2.6114,20.0007,22.6121
defended,SELECT,22,2.5976,20.0074,22.6049
defended,SELECT,23,2.7902,20.0315,22.8217
defended,SELECT,24,3.5918,20.0126,23.6044
defended,SELECT,25,2.5961,19.9978,22.594
defended,SELECT,26,3.0675,20.0012,23.0687
