case,endpoint,local_addr,remote_addr,cover_class,cover_dest_hex,direction,real_apdu,framing,n_cover,cover_frame_bytes,real_frame_bytes,real_lpdu_len_field,real_ud_bytes,tcp_payload_bytes,parser_frames_rx,unknownDest,unknownSrc,badMaster,unexpected,pushups,tx_writes,fail_logs,cover_discarded,real_accepted,gate_verdict
B1_out_individual,outstation,10,1,individual,0032,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B1_out_reserved_lo,outstation,10,1,reserved_lo,FFF0,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B1_out_reserved_hi,outstation,10,1,reserved_hi,FFFB,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B1_out_self_addr,outstation,10,1,self_addr,FFFC,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B1_out_broadcast_D,outstation,10,1,broadcast_D,FFFD,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,0,0,0,0,2,0,0,0,1,FAIL
B1_out_broadcast_E,outstation,10,1,broadcast_E,FFFE,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,0,0,0,0,2,0,0,0,1,FAIL
B1_out_broadcast_F,outstation,10,1,broadcast_F,FFFF,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,0,0,0,0,2,0,0,0,1,FAIL
B1_mas_individual,master,1,10,individual,0032,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,1,0,0,0,1,0,0,1,1,PASS
B1_mas_reserved_lo,master,1,10,reserved_lo,FFF0,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,1,0,0,0,1,0,0,1,1,PASS
B1_mas_reserved_hi,master,1,10,reserved_hi,FFFB,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,1,0,0,0,1,0,0,1,1,PASS
B1_mas_self_addr,master,1,10,self_addr,FFFC,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,1,0,0,0,1,0,0,1,1,PASS
B1_mas_broadcast_D,master,1,10,broadcast_D,FFFD,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,0,0,0,0,2,0,0,0,1,FAIL
B1_mas_broadcast_E,master,1,10,broadcast_E,FFFE,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,0,0,0,0,2,0,0,0,1,FAIL
B1_mas_broadcast_F,master,1,10,broadcast_F,FFFF,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,0,0,0,0,2,0,0,0,1,FAIL
B2_read_req,outstation,10,1,individual,0032,outstation_bound,READ_req,same_seg,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B2_select_req,outstation,10,1,individual,0032,outstation_bound,SELECT_req,same_seg,1,18,45,36,31,63,2,1,0,0,0,1,0,0,1,1,PASS
B2_operate_req,outstation,10,1,individual,0032,outstation_bound,OPERATE_req,same_seg,1,18,45,36,31,63,2,1,0,0,0,1,0,0,1,1,PASS
B2_read_resp,master,1,10,individual,0032,master_bound,READ_resp,same_seg,1,18,23,16,11,41,2,1,0,0,0,1,0,0,1,1,PASS
B2_select_resp,master,1,10,individual,0032,master_bound,SELECT_resp,same_seg,1,18,49,38,33,67,2,1,0,0,0,1,0,0,1,1,PASS
B2_operate_resp,master,1,10,individual,0032,master_bound,OPERATE_resp,same_seg,1,18,49,38,33,67,2,1,0,0,0,1,0,0,1,1,PASS
B3_individual_split_in_cover,outstation,10,1,individual,0032,outstation_bound,READ_req,split_in_cover,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B3_individual_split_in_real,outstation,10,1,individual,0032,outstation_bound,READ_req,split_in_real,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
B3_individual_3covers_same_seg,outstation,10,1,individual,0032,outstation_bound,READ_req,3covers_same_seg,3,18,18,11,6,72,4,3,0,0,0,1,0,0,1,1,PASS
B3_individual_3covers_split,outstation,10,1,individual,0032,outstation_bound,READ_req,3covers_split,3,18,18,11,6,72,4,3,0,0,0,1,0,0,1,1,PASS
B3_broadcast_D_split_in_cover,outstation,10,1,broadcast_D,FFFD,outstation_bound,READ_req,split_in_cover,1,18,18,11,6,36,2,0,0,0,0,2,0,0,0,1,FAIL
B3_broadcast_D_split_in_real,outstation,10,1,broadcast_D,FFFD,outstation_bound,READ_req,split_in_real,1,18,18,11,6,36,2,0,0,0,0,2,0,0,0,1,FAIL
B3_broadcast_D_3covers_same_seg,outstation,10,1,broadcast_D,FFFD,outstation_bound,READ_req,3covers_same_seg,3,18,18,11,6,72,4,0,0,0,0,4,0,0,0,1,FAIL
B3_broadcast_D_3covers_split,outstation,10,1,broadcast_D,FFFD,outstation_bound,READ_req,3covers_split,3,18,18,11,6,72,4,0,0,0,0,4,0,0,0,1,FAIL
B4_confirmed_cover_individual,outstation,10,1,individual_confirmed,0032,outstation_bound,READ_req,confirmed_cover,1,18,18,11,6,36,2,1,0,0,0,1,0,0,1,1,PASS
