frame,dest_hex,src,confirmed,dnp3_frame_bytes,lpdu_length_field,dnp3_userdata_bytes,crc_valid
B1_out_individual.cover,0032,1,0,18,11,6,1
B1_out_reserved_lo.cover,FFF0,1,0,18,11,6,1
B1_out_reserved_hi.cover,FFFB,1,0,18,11,6,1
B1_out_self_addr.cover,FFFC,1,0,18,11,6,1
B1_out_broadcast_D.cover,FFFD,1,0,18,11,6,1
B1_out_broadcast_E.cover,FFFE,1,0,18,11,6,1
B1_out_broadcast_F.cover,FFFF,1,0,18,11,6,1
B1_out.real,000A,1,0,18,11,6,1
B1_mas_individual.cover,0032,10,0,18,11,6,1
B1_mas_reserved_lo.cover,FFF0,10,0,18,11,6,1
B1_mas_reserved_hi.cover,FFFB,10,0,18,11,6,1
B1_mas_self_addr.cover,FFFC,10,0,18,11,6,1
B1_mas_broadcast_D.cover,FFFD,10,0,18,11,6,1
B1_mas_broadcast_E.cover,FFFE,10,0,18,11,6,1
B1_mas_broadcast_F.cover,FFFF,10,0,18,11,6,1
B1_mas.real,0001,10,0,23,16,11,1
B2_read_req.real,000A,1,0,18,11,6,1
B2_select_req.real,000A,1,0,45,36,31,1
B2_operate_req.real,000A,1,0,45,36,31,1
B2_read_resp.real,0001,10,0,23,16,11,1
B2_select_resp.real,0001,10,0,49,38,33,1
B2_operate_resp.real,0001,10,0,49,38,33,1
