frame.number tcp.srcport tcp.dstport tcp.flags.str tcp.seq tcp.ack tcp.len
1 37391 20801 ··········S· 0 0 0
2 20801 37391 ·······A··S· 0 1 0
3 37391 20801 ·······A···· 1 1 0
4 37391 20801 ·······AP··· 1 1 27
5 20801 37391 ·······A···· 1 28 0
6 20801 37391 ·······AP··· 1 28 243
7 37391 20801 ·······A···· 28 244 0
8 37391 20801 ·······AP··· 28 244 15
9 20801 37391 ·······A···· 244 43 0
10 37391 20801 ·······AP··· 43 244 21
11 20801 37391 ·······A···· 244 64 0
12 20801 37391 ·······AP··· 244 64 17
13 37391 20801 ·······AP··· 64 261 35
14 20801 37391 ·······AP··· 261 99 37
15 37391 20801 ·······AP··· 99 298 35
16 20801 37391 ·······AP··· 298 134 37
17 37391 20801 ·······A···· 134 335 0
18 20801 37391 ·······A···F 335 134 0
19 37391 20801 ·······A···F 134 336 0
20 20801 37391 ·······A···· 336 135 0
21 48709 20801 ··········S· 0 0 0
22 20801 48709 ·······A·R·· 1 1 0
