Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 12
  Number of stages for ingress table allocation: 12
  Number of stages for egress table allocation: 10
Critical path length through the table dependency graph: 12
Number of tables allocated: 76
+-------+-----------------+------------------------------------------------------+
| Stage | Min / Max Stage |                      Table Name                      |
+-------+-----------------+------------------------------------------------------+
|   0   |    [ 0, 0 ]     |             tbl_defense4_cover_kernel534             |
|   0   |    [ 0, 1 ]     |                     tbl_drop_pkt                     |
|   0   |    [ 0, 3 ]     |                    Egress.e_fold                     |
|   0   |    [ 0, 4 ]     |                     Egress.e_ctl                     |
|   0   |    [ 0, 4 ]     |                   Egress.e_haspay                    |
|   0   |    [ 0, 6 ]     |                     Egress.e_mtu                     |
|   1   |    [ -, - ]     |             tbl_defense4_cover_kernel535             |
|   1   |    [ 1, 2 ]     |                  Ingress.tbl_params                  |
|   1   |    [ 1, 3 ]     |                   Ingress.tbl_fold                   |
|   1   |    [ 1, 4 ]     |                  Egress.e_flow_idx                   |
|   1   |    [ 1, 5 ]     |                    Egress.t_owner                    |
|   1   |    [ 1, 5 ]     |             tbl_defense4_cover_kernel898             |
|   1   |    [ 1, 5 ]     |             tbl_defense4_cover_kernel903             |
|   1   |    [ 1, 5 ]     |             tbl_defense4_cover_kernel900             |
|   1   |    [ 1, 5 ]     |             tbl_defense4_cover_kernel901             |
|   1   |    [ 1, 8 ]     |             tbl_defense4_cover_kernel537             |
|   2   |    [ 2, 2 ]     |                 Ingress.tbl_arm_now                  |
|   2   |    [ 2, 4 ]     |                 Ingress.tbl_flow_idx                 |
|   2   |    [ 2, 5 ]     |                    Ingress.tbl_fp                    |
|   2   |    [ 2, 5 ]     |                   Egress.e_cut_tbl                   |
|   3   |    [ 3, 3 ]     |                 Ingress.tbl_build_ta                 |
|   3   |    [ 3, 5 ]     |                   Ingress.tbl_cut                    |
|   3   |    [ 3, 6 ]     |             tbl_defense4_cover_kernel908             |
|   4   |    [ 4, 4 ]     |               Ingress.tbl_build_tresp                |
|   4   |    [ 4, 6 ]     |             tbl_defense4_cover_kernel558             |
|   4   |    [ 4, 6 ]     |             tbl_defense4_cover_kernel559             |
|   4   |    [ 3, 7 ]     |             tbl_defense4_cover_kernel913             |
|   4   |    [ 4, 7 ]     |             tbl_defense4_cover_kernel915             |
|   4   |    [ 4, 7 ]     |             tbl_defense4_cover_kernel917             |
|   4   |    [ 4, 9 ]     |             tbl_defense4_cover_kernel554             |
|   4   |    [ 4, 9 ]     |             tbl_defense4_cover_kernel555             |
|   4   |   [ 4, 10 ]     |             tbl_defense4_cover_kernel556             |
|   4   |    [ 4, 8 ]     |             tbl_defense4_cover_kernel571             |
|   4   |    [ 4, 8 ]     |             tbl_defense4_cover_kernel572             |
|   4   |   [ 4, 10 ]     |                    Egress.t_cover                    |
|   5   |    [ 5, 5 ]     |                Ingress.tbl_arm_select                |
|   5   |    [ 5, 7 ]     |                Ingress.tbl_collision                 |
|   5   |    [ 4, 7 ]     |             tbl_defense4_cover_kernel563             |
|   5   |    [ 4, 7 ]     |             tbl_defense4_cover_kernel565             |
|   5   |    [ 4, 8 ]     |             tbl_defense4_cover_kernel564             |
|   5   |    [ 5, 8 ]     |             tbl_defense4_cover_kernel922             |
|   5   |    [ 4, 8 ]     |             tbl_defense4_cover_kernel567             |
|   5   |    [ 4, 8 ]     |             tbl_defense4_cover_kernel569             |
|   5   |    [ 4, 9 ]     |             tbl_defense4_cover_kernel568             |
|   5   |   [ 5, 11 ]     |             tbl_defense4_cover_kernel944             |
|   5   |    [ 5, 9 ]     |                       cond-63                        |
|   6   |    [ 6, 6 ]     |             tbl_defense4_cover_kernel550             |
|   6   |    [ 5, 8 ]     |               Ingress.tbl_predecessor                |
|   6   |    [ 6, 9 ]     |             tbl_defense4_cover_kernel924             |
|   6   |   [ 6, 10 ]     |             tbl_defense4_cover_kernel925             |
|   7   |    [ 7, 7 ]     |             tbl_defense4_cover_kernel561             |
|   7   |   [ 7, 10 ]     |             tbl_defense4_cover_kernel936             |
|   7   |   [ 7, 10 ]     |             tbl_defense4_cover_kernel939             |
|   8   |    [ 8, 8 ]     |                  Ingress.tbl_expiry                  |
|   8   |   [ 8, 11 ]     | egresshdr.ipv4.csum_encode_update_condition_2_egress |
|   9   |    [ 9, 9 ]     |                 Ingress.tbl_release                  |
|   9   |   [ 9, 10 ]     |                      tbl_to_fwd                      |
|   9   |   [ 9, 10 ]     |                       cond-49                        |
|   9   |   [ 9, 10 ]     |                    tbl_drop_pkt_0                    |
|   9   |   [ 9, 10 ]     |                       cond-52                        |
|   9   |   [ 9, 10 ]     |                     tbl_to_fwd_3                     |
|   9   |   [ 9, 10 ]     |                     tbl_to_fwd_1                     |
|   9   |   [ 9, 10 ]     |                     tbl_to_fwd_0                     |
|   9   |   [ 9, 11 ]     |                   tbl_to_ack_hold                    |
|   9   |   [ 9, 11 ]     |             tbl_defense4_cover_kernel587             |
|   9   |   [ 8, 11 ]     | egresshdr.tcp.csum_encode_update_condition_3_egress  |
|   9   |   [ 9, 11 ]     |                   tbl_to_ack_block                   |
|   9   |   [ 9, 11 ]     |                  tbl_to_resp_block                   |
|  10   |   [ 10, 10 ]    |             tbl_defense4_cover_kernel589             |
|  10   |   [ 10, 10 ]    |             tbl_defense4_cover_kernel593             |
|  10   |   [ 10, 10 ]    |             tbl_defense4_cover_kernel585             |
|  10   |   [ 10, 10 ]    |             tbl_defense4_cover_kernel581             |
|  10   |   [ 10, 10 ]    |             tbl_defense4_cover_kernel597             |
|  10   |   [ 10, 11 ]    |                   tbl_to_resp_hold                   |
|  10   |   [ 10, 11 ]    |                     tbl_to_fwd_2                     |
|  11   |   [ 11, 11 ]    |             tbl_defense4_cover_kernel602             |
+-------+-----------------+------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

