candidate_id,tier,read_encoding,sbo_encoding,real_objects,decoy_objects,native_size_bytes,u_userdata,crc_boundary_offsets,balanced_split,point_config_burden,parser_visible_differences,physical_risk,opendnp3_result,sel751_compat,reason
C01,1,"READ G1V2 x11 pts, qualifier start-stop 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 11 configured status points (G1V2) at low indices (<256),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 11 status pts + 1 output pts configured),VIABLE: 1-CROB SBO (0 decoy) == 11-pt G10V2/G1V2 read at 35 B; exact size match but no decoy cover in the SBO.
C02,1,"READ G10V2 x11 pts, qualifier start-stop 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 11 configured status points (G10V2) at low indices (<256),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 11 status pts + 1 output pts configured),VIABLE: 1-CROB SBO (0 decoy) == 11-pt G10V2/G1V2 read at 35 B; exact size match but no decoy cover in the SBO.
C03,1,"READ G1V2 x23 pts, qualifier start-stop 1-byte","SBO G12V1 x2 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"1 decoy CROB(s) (odd index, must be physically disconnected)",49,33,10 28 46 49,28+21,SBO: 2 G12V1 points (1 real + 1 decoy); READ: 23 configured status points (G1V2) at low indices (<256),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 23 status pts + 2 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C04,1,"READ G10V2 x23 pts, qualifier start-stop 1-byte","SBO G12V1 x2 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"1 decoy CROB(s) (odd index, must be physically disconnected)",49,33,10 28 46 49,28+21,SBO: 2 G12V1 points (1 real + 1 decoy); READ: 23 configured status points (G10V2) at low indices (<256),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 23 status pts + 2 output pts configured),"SELECTED (primary): 2-CROB SBO (1 real + 1 decoy) == 23-pt G10V2 status read at 49 B; smallest decoy count with real cover; balanced split [28,21]."
C05,1,"READ G30V1 x7 pts, qualifier start-stop 1-byte","SBO G12V1 x3 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"2 decoy CROB(s) (odd index, must be physically disconnected)",61,45,10 28 46 61,28+33,SBO: 3 G12V1 points (1 real + 2 decoy); READ: 7 configured analog points (G30V1) at low indices (<256),group/var differ (G12 CROB vs G30V1); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 7 analog pts + 3 output pts configured),"SELECTED (secondary): 3-CROB SBO (1 real + 2 decoy) == 7-pt G30V1 analog read at 61 B; 7 analog metering points is a very natural SEL-751 poll; split [28,33]."
C06,1,"READ G20V1 x7 pts, qualifier start-stop 1-byte","SBO G12V1 x3 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"2 decoy CROB(s) (odd index, must be physically disconnected)",61,45,10 28 46 61,28+33,SBO: 3 G12V1 points (1 real + 2 decoy); READ: 7 configured counter points (G20V1) at low indices (<256),group/var differ (G12 CROB vs G20V1); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 7 counter pts + 3 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C07,1,"READ G1V2 x35 pts, qualifier start-stop 1-byte","SBO G12V1 x3 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"2 decoy CROB(s) (odd index, must be physically disconnected)",61,45,10 28 46 61,28+33,SBO: 3 G12V1 points (1 real + 2 decoy); READ: 35 configured status points (G1V2) at low indices (<256),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 35 status pts + 3 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C08,1,"READ G10V2 x35 pts, qualifier start-stop 1-byte","SBO G12V1 x3 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"2 decoy CROB(s) (odd index, must be physically disconnected)",61,45,10 28 46 61,28+33,SBO: 3 G12V1 points (1 real + 2 decoy); READ: 35 configured status points (G10V2) at low indices (<256),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 35 status pts + 3 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C09,1,"READ G1V2 x47 pts, qualifier start-stop 1-byte","SBO G12V1 x4 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"3 decoy CROB(s) (odd index, must be physically disconnected)",75,57,10 28 46 64 75,46+29,SBO: 4 G12V1 points (1 real + 3 decoy); READ: 47 configured status points (G1V2) at low indices (<256),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 47 status pts + 4 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C10,1,"READ G10V2 x47 pts, qualifier start-stop 1-byte","SBO G12V1 x4 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"3 decoy CROB(s) (odd index, must be physically disconnected)",75,57,10 28 46 64 75,46+29,SBO: 4 G12V1 points (1 real + 3 decoy); READ: 47 configured status points (G10V2) at low indices (<256),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 47 status pts + 4 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C11,1,"READ G1V2 x59 pts, qualifier start-stop 1-byte","SBO G12V1 x5 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"4 decoy CROB(s) (odd index, must be physically disconnected)",89,69,10 28 46 64 82 89,46+43,SBO: 5 G12V1 points (1 real + 4 decoy); READ: 59 configured status points (G1V2) at low indices (<256),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 59 status pts + 5 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C12,1,"READ G10V2 x59 pts, qualifier start-stop 1-byte","SBO G12V1 x5 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"4 decoy CROB(s) (odd index, must be physically disconnected)",89,69,10 28 46 64 82 89,46+43,SBO: 5 G12V1 points (1 real + 4 decoy); READ: 59 configured status points (G10V2) at low indices (<256),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 59 status pts + 5 output pts configured),VIABLE (Tier-1): natural minimal encoding both sides; larger decoy/point count than the primary.
C13,2,"READ G30V1 x2 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 2 configured analog points (G30V1) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G30V1); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 2 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C14,2,"READ G20V1 x2 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 2 configured counter points (G20V1) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G20V1); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 2 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C15,2,"READ G30V2 x3 pts, qualifier start-stop 2-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured analog points (G30V2) forced to indices >=256 (2-byte range),group/var differ (G12 CROB vs G30V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C16,2,"READ G30V2 x3 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured analog points (G30V2) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G30V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
