class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,1,3,1786665259.268834,1786665259.289495,1786665259.293493,3.999,45,28,28,1
ALL,defended,2,3,1786665259.299093,1786665259.320556,1786665259.324558,4.002,45,28,28,0
ALL,defended,3,3,1786665259.330165,1786665259.350641,1786665259.354671,4.031,45,28,28,0
ALL,defended,4,3,1786665259.360286,1786665259.380761,1786665259.384762,4.000,45,28,28,0
ALL,defended,5,3,1786665259.390420,1786665259.410885,1786665259.414895,4.010,45,28,28,0
ALL,defended,6,3,1786665259.420496,1786665259.441576,1786665259.445580,4.004,45,28,28,0
ALL,defended,7,3,1786665259.451176,1786665259.471685,1786665259.475764,4.078,45,28,28,0
ALL,defended,8,3,1786665259.481341,1786665259.501842,1786665259.505844,4.002,45,28,28,0
ALL,defended,9,3,1786665259.511439,1786665259.531898,1786665259.535904,4.006,45,28,28,0
ALL,defended,10,3,1786665259.541520,1786665259.562390,1786665259.566392,4.002,45,28,28,0
ALL,defended,11,3,1786665259.572007,1786665259.592505,1786665259.596580,4.075,45,28,28,0
ALL,defended,12,3,1786665259.602135,1786665259.622650,1786665259.626650,4.000,45,28,28,0
ALL,defended,13,3,1786665259.632294,1786665259.652751,1786665259.656728,3.976,45,28,28,0
ALL,defended,14,3,1786665259.662369,1786665259.683280,1786665259.687306,4.026,45,28,28,0
ALL,defended,15,3,1786665259.692924,1786665259.713460,1786665259.717455,3.994,45,28,28,0
ALL,defended,16,3,1786665259.723060,1786665259.743574,1786665259.747574,4.000,45,28,28,0
ALL,defended,17,3,1786665259.753166,1786665259.773608,1786665259.777607,3.999,45,28,28,0
ALL,defended,18,3,1786665259.782891,1786665259.804178,1786665259.808229,4.051,45,28,28,0
ALL,defended,19,3,1786665259.813711,1786665259.834239,1786665259.838239,4.000,45,28,28,0
ALL,defended,20,3,1786665259.843749,1786665259.864247,1786665259.868242,3.994,45,28,28,0
ALL,defended,21,3,1786665259.873817,1786665259.894333,1786665259.898336,4.003,45,28,28,0
ALL,defended,22,3,1786665259.903907,1786665259.925105,1786665259.929109,4.004,45,28,28,0
ALL,defended,23,3,1786665259.934733,1786665259.955240,1786665259.959243,4.003,45,28,28,0
ALL,defended,24,3,1786665259.964840,1786665259.985341,1786665259.989346,4.004,45,28,28,0
ALL,defended,25,3,1786665259.994940,1786665260.015399,1786665260.019417,4.018,45,28,28,0
ALL,defended,26,3,1786665260.025034,1786665260.045879,1786665260.049881,4.003,45,28,28,0
ALL,defended,27,3,1786665260.055519,1786665260.076024,1786665260.080076,4.052,45,28,28,0
ALL,defended,28,3,1786665260.085635,1786665260.106129,1786665260.110132,4.004,45,28,28,0
ALL,defended,29,3,1786665260.115770,1786665260.136242,1786665260.140247,4.005,45,28,28,0
ALL,defended,30,3,1786665260.145871,1786665260.166802,1786665260.170804,4.002,45,28,28,0
ALL,defended,31,3,1786665260.176461,1786665260.196962,1786665260.200939,3.978,45,28,28,0
ALL,defended,32,3,1786665260.206552,1786665260.227055,1786665260.231108,4.054,45,28,28,0
ALL,defended,33,3,1786665260.236691,1786665260.257129,1786665260.261158,4.029,45,28,28,0
ALL,defended,34,3,1786665260.266779,1786665260.287621,1786665260.291622,4.001,45,28,28,0
ALL,defended,35,3,1786665260.297221,1786665260.317697,1786665260.321697,4.001,45,28,28,0
ALL,defended,36,3,1786665260.327334,1786665260.347815,1786665260.351781,3.966,45,28,28,0
ALL,defended,37,3,1786665260.357402,1786665260.377873,1786665260.381878,4.005,45,28,28,0
ALL,defended,38,3,1786665260.387497,1786665260.408561,1786665260.412562,4.001,45,28,28,0
ALL,defended,39,3,1786665260.418183,1786665260.438692,1786665260.442687,3.995,45,28,28,0
ALL,defended,40,3,1786665260.448346,1786665260.468855,1786665260.472860,4.006,45,28,28,0
