Jpolicy,txn,A_ms,R_ms,echo_ack_ms
J=2ms,0,23.475,27.472,3.998
J=2ms,1,20.999,25.023,4.023
J=2ms,2,21.631,25.613,3.981
J=2ms,3,20.696,24.696,4.000
J=2ms,4,20.919,24.916,3.997
J=2ms,5,21.086,25.135,4.050
J=2ms,6,21.001,25.002,4.000
J=2ms,7,21.037,25.035,3.999
J=2ms,8,21.049,25.048,3.998
J=2ms,9,21.075,25.087,4.011
J=2ms,10,21.093,25.083,3.990
J=2ms,11,21.026,25.027,4.001
J=2ms,12,20.948,24.931,3.983
J=2ms,13,21.023,25.028,4.005
J=2ms,14,21.006,25.101,4.095
J=2ms,15,21.157,25.152,3.995
J=2ms,16,21.032,25.049,4.017
J=2ms,17,21.029,25.032,4.003
J=2ms,18,21.084,25.132,4.048
J=2ms,19,21.017,25.068,4.051
J=2ms,20,21.070,25.072,4.001
J=2ms,21,21.019,25.020,4.001
J=2ms,22,20.984,24.986,4.002
J=2ms,23,21.039,25.096,4.057
J=2ms,24,21.026,25.025,3.999
J=2ms,25,21.008,25.031,4.023
J=2ms,26,21.028,25.028,3.999
J=2ms,27,21.003,25.054,4.051
J=2ms,28,21.030,25.031,4.002
J=2ms,29,20.998,24.992,3.994
