Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 10
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 137
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 2 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 3 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 3 ]     |                           cond-83                            |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2925             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2931             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2942             |
|   0   |    [ 0, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2911             |
|   0   |   [ 0, 10 ]     |                           cond-151                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3832             |
|   0   |   [ 0, 10 ]     |                           cond-153                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3843             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3849             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3852             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3838             |
|   0   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2841             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2913             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2916             |
|   1   |    [ 1, 3 ]     |             tbl_defense4_twopipe_pipe0_probe2919             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2978             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2845             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2976             |
|   1   |    [ 1, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2977             |
|   1   |    [ 0, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2851             |
|   1   |    [ 0, 5 ]     |                    Ingress.tbl_bor_params                    |
|   1   |   [ 1, 10 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |             tbl_defense4_twopipe_pipe0_probe2854             |
|   1   |   [ 0, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3144             |
|   1   |   [ 0, 11 ]     |                 Ingress.tbl_build_bor_cands                  |
|   1   |   [ 0, 11 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   2   |    [ 1, 5 ]     |                    Ingress.tbl_build_now                     |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2980             |
|   2   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2982             |
|   2   |    [ 2, 4 ]     |                           cond-91                            |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3857             |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   3   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2955             |
|   3   |    [ 2, 4 ]     |             tbl_defense4_twopipe_pipe0_probe2957             |
|   3   |   [ 2, 11 ]     |             tbl_defense4_twopipe_pipe0_probe2960             |
|   3   |    [ 2, 6 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 6 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 6 ]     |                     Ingress.tbl_arm_fold                     |
|   3   |   [ 1, 11 ]     |             tbl_defense4_twopipe_pipe0_probe3648             |
|   3   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   4   |    [ 3, 5 ]     |                  Ingress.tbl_resp_authorise                  |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe2999             |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3003             |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3009             |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3025             |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3020             |
|   5   |    [ 4, 6 ]     |             tbl_defense4_twopipe_pipe0_probe3022             |
|   6   |    [ 5, 7 ]     |                   Ingress.tbl_state_decode                   |
|   6   |    [ 5, 7 ]     |                    Ingress.tbl_txn_active                    |
|   7   |    [ 6, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3084             |
|   7   |    [ 6, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3082             |
|   7   |    [ 6, 8 ]     |             tbl_defense4_twopipe_pipe0_probe3075             |
|   7   |    [ 6, 9 ]     |             tbl_defense4_twopipe_pipe0_probe3073             |
|   7   |   [ 6, 10 ]     |             tbl_defense4_twopipe_pipe0_probe3100             |
