Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 6
  Number of stages for ingress table allocation: 6
  Number of stages for egress table allocation: 0
Critical path length through the table dependency graph: 6
Number of tables allocated: 46
+-------+-----------------+-------------------------------------+
| Stage | Min / Max Stage |             Table Name              |
+-------+-----------------+-------------------------------------+
|   0   |    [ -, - ]     | tbl_defense4_twopipe_pipe1_probe397 |
|   0   |    [ 0, 7 ]     |      Ingress.tbl_bor_codebook       |
|   0   |    [ 0, 7 ]     | tbl_defense4_twopipe_pipe1_probe409 |
|   0   |    [ 0, 7 ]     | tbl_defense4_twopipe_pipe1_probe412 |
|   0   |    [ 0, 7 ]     | tbl_defense4_twopipe_pipe1_probe414 |
|   0   |   [ 0, 10 ]     |         Ingress.tbl_params          |
|   0   |   [ 0, 10 ]     | tbl_defense4_twopipe_pipe1_probe400 |
|   0   |   [ 0, 11 ]     | tbl_defense4_twopipe_pipe1_probe393 |
|   1   |    [ 1, 7 ]     |       Ingress.tbl_build_words       |
|   1   |    [ 1, 8 ]     | tbl_defense4_twopipe_pipe1_probe417 |
|   1   |    [ 1, 8 ]     |               cond-31               |
|   1   |    [ 1, 9 ]     |               cond-34               |
|   2   |    [ 2, 8 ]     | tbl_defense4_twopipe_pipe1_probe425 |
|   2   |    [ 2, 9 ]     | tbl_defense4_twopipe_pipe1_probe428 |
|   2   |    [ 2, 9 ]     | tbl_defense4_twopipe_pipe1_probe430 |
|   2   |    [ 2, 9 ]     | tbl_defense4_twopipe_pipe1_probe435 |
|   2   |    [ 2, 9 ]     | tbl_defense4_twopipe_pipe1_probe437 |
|   3   |    [ 3, 9 ]     | tbl_defense4_twopipe_pipe1_probe442 |
|   3   |   [ 3, 10 ]     | tbl_defense4_twopipe_pipe1_probe447 |
|   3   |   [ 3, 10 ]     | tbl_defense4_twopipe_pipe1_probe449 |
|   4   |   [ 4, 10 ]     |       Ingress.tbl_topj_expiry       |
|   4   |   [ 4, 11 ]     |               cond-38               |
|   4   |   [ 4, 11 ]     |               cond-39               |
|   4   |   [ 4, 11 ]     |               cond-43               |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe493 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe496 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe487 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe489 |
|   4   |   [ 4, 11 ]     |           tbl_to_op_block           |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe482 |
|   4   |   [ 4, 11 ]     |            tbl_arm_clone            |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe472 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe475 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe464 |
|   4   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe467 |
|   4   |   [ 4, 11 ]     |           tbl_to_op_hold            |
|   5   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe462 |
|   5   |   [ 4, 11 ]     |               cond-46               |
|   5   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe524 |
|   5   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe527 |
|   5   |   [ 4, 11 ]     | tbl_defense4_twopipe_pipe1_probe504 |
|   5   |   [ 5, 11 ]     | tbl_defense4_twopipe_pipe1_probe508 |
|   5   |   [ 5, 11 ]     | tbl_defense4_twopipe_pipe1_probe512 |
|   5   |   [ 5, 11 ]     | tbl_defense4_twopipe_pipe1_probe518 |
|   5   |   [ 5, 11 ]     |          tbl_to_op_block_0          |
|   5   |   [ 5, 11 ]     | tbl_defense4_twopipe_pipe1_probe516 |
+-------+-----------------+-------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

