| Stage | Min / Max Stage |                  Table Name                  |
+-------+-----------------+----------------------------------------------+
|   0   |    [ -, - ]     | tbl_defense4_twopipe_pipe1_faithful_probe516 |
|   0   |    [ 0, 2 ]     | tbl_defense4_twopipe_pipe1_faithful_probe505 |
|   0   |    [ 0, 2 ]     |             Ingress.tbl_classify             |
|   0   |   [ 0, 10 ]     |              Ingress.tbl_params              |
|   0   |   [ 0, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe501 |
|   1   |    [ 1, 3 ]     |           Ingress.tbl_build_words            |
|   1   |    [ 1, 3 ]     |           Ingress.tbl_bor_codebook           |
|   1   |    [ 1, 3 ]     |                   cond-31                    |
|   1   |    [ 1, 3 ]     | tbl_defense4_twopipe_pipe1_faithful_probe513 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe537 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe539 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe541 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe545 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe528 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe530 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe532 |
|   2   |    [ 2, 5 ]     |                   cond-37                    |
|   3   |    [ 3, 5 ]     | tbl_defense4_twopipe_pipe1_faithful_probe556 |
|   4   |    [ 4, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe563 |
|   4   |    [ 4, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe565 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe567 |
|   4   |    [ 4, 7 ]     |                   cond-42                    |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe578 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe580 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe582 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe575 |
|   5   |    [ 5, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe576 |
|   6   |    [ 6, 8 ]     |             Ingress.tbl_hold_ok              |
|   7   |    [ 7, 9 ]     | tbl_defense4_twopipe_pipe1_faithful_probe591 |
|   8   |   [ 8, 10 ]     |           Ingress.tbl_topj_expiry            |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe603 |
|   8   |   [ 8, 11 ]     |                tbl_arm_clone                 |
|   8   |   [ 8, 11 ]     |                   cond-48                    |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe609 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe615 |
|   8   |   [ 8, 11 ]     |                tbl_to_op_hold                |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe613 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe617 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe624 |
|   8   |   [ 8, 11 ]     |                   cond-52                    |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe636 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe638 |
|   8   |   [ 8, 11 ]     |               tbl_to_op_block                |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe631 |
|   8   |   [ 8, 11 ]     |                   cond-54                    |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe667 |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe670 |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe644 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe648 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe655 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe661 |
|   9   |   [ 9, 11 ]     |              tbl_to_op_block_0               |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe659 |
+-------+-----------------+----------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

