Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 10
  Number of stages for ingress table allocation: 10
  Number of stages for egress table allocation: 0
Critical path length through the table dependency graph: 10
Number of tables allocated: 52
+-------+-----------------+----------------------------------------------+
| Stage | Min / Max Stage |                  Table Name                  |
+-------+-----------------+----------------------------------------------+
|   0   |    [ -, - ]     | tbl_defense4_twopipe_pipe1_faithful_probe488 |
|   0   |    [ 0, 2 ]     |             Ingress.tbl_classify             |
|   0   |    [ 0, 3 ]     |           Ingress.tbl_bor_codebook           |
|   0   |   [ 0, 10 ]     |              Ingress.tbl_params              |
|   0   |   [ 0, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe484 |
|   1   |    [ 1, 3 ]     |           Ingress.tbl_build_words            |
|   1   |    [ 1, 3 ]     |                   cond-31                    |
|   1   |    [ 1, 3 ]     | tbl_defense4_twopipe_pipe1_faithful_probe496 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe519 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe521 |
|   1   |    [ 1, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe523 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe527 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe510 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe512 |
|   2   |    [ 2, 4 ]     | tbl_defense4_twopipe_pipe1_faithful_probe514 |
|   2   |    [ 2, 5 ]     |                   cond-37                    |
|   3   |    [ 3, 5 ]     | tbl_defense4_twopipe_pipe1_faithful_probe538 |
|   4   |    [ 4, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe545 |
|   4   |    [ 4, 6 ]     | tbl_defense4_twopipe_pipe1_faithful_probe547 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe549 |
|   4   |    [ 4, 7 ]     |                   cond-42                    |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe560 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe562 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe564 |
|   4   |    [ 4, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe557 |
|   5   |    [ 5, 7 ]     | tbl_defense4_twopipe_pipe1_faithful_probe558 |
|   6   |    [ 6, 8 ]     |             Ingress.tbl_hold_ok              |
|   7   |    [ 7, 9 ]     | tbl_defense4_twopipe_pipe1_faithful_probe573 |
|   8   |   [ 8, 10 ]     |           Ingress.tbl_topj_expiry            |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe585 |
|   8   |   [ 8, 11 ]     |                tbl_arm_clone                 |
|   8   |   [ 8, 11 ]     |                   cond-48                    |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe591 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe597 |
|   8   |   [ 8, 11 ]     |                tbl_to_op_hold                |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe595 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe599 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe606 |
|   8   |   [ 8, 11 ]     |                   cond-52                    |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe618 |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe620 |
|   8   |   [ 8, 11 ]     |               tbl_to_op_block                |
|   8   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe613 |
|   8   |   [ 8, 11 ]     |                   cond-54                    |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe649 |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe652 |
|   9   |   [ 8, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe626 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe630 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe637 |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe643 |
|   9   |   [ 9, 11 ]     |              tbl_to_op_block_0               |
|   9   |   [ 9, 11 ]     | tbl_defense4_twopipe_pipe1_faithful_probe641 |
+-------+-----------------+----------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

