Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 12
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 109
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |             tbl_defense4_rrc_bor_unified12l2753              |
|   0   |    [ 0, 0 ]     |                           cond-75                            |
|   0   |    [ 0, 0 ]     |             tbl_defense4_rrc_bor_unified12l2792              |
|   0   |    [ 0, 0 ]     |             tbl_defense4_rrc_bor_unified12l2793              |
|   0   |    [ 0, 0 ]     |             tbl_defense4_rrc_bor_unified12l2794              |
|   0   |    [ 0, 1 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2759              |
|   0   |    [ 0, 1 ]     |                           cond-79                            |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2802              |
|   0   |    [ 0, 1 ]     |             tbl_defense4_rrc_bor_unified12l2803              |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l2750              |
|   0   |   [ 0, 10 ]     |                           cond-135                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l3241              |
|   0   |   [ 0, 10 ]     |                           cond-137                           |
|   0   |   [ 0, 10 ]     |             tbl_defense4_rrc_bor_unified12l3252              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2798              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2799              |
|   1   |    [ 1, 1 ]     |             tbl_defense4_rrc_bor_unified12l2800              |
|   1   |    [ 1, 1 ]     |                    Ingress.tbl_build_now                     |
|   1   |    [ 0, 2 ]     |                  Ingress.tbl_build_exp_ack                   |
|   1   |    [ 0, 2 ]     |                           cond-86                            |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2834              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2836              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2848              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2839              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2854              |
|   1   |    [ 1, 2 ]     |             tbl_defense4_rrc_bor_unified12l2842              |
|   1   |    [ 0, 2 ]     |             tbl_defense4_rrc_bor_unified12l2865              |
|   1   |    [ 0, 3 ]     |             tbl_defense4_rrc_bor_unified12l2809              |
|   1   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2899              |
|   1   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2900              |
|   2   |    [ 2, 2 ]     |                 Ingress.tbl_build_cand_resp                  |
|   2   |    [ 2, 2 ]     |             tbl_defense4_rrc_bor_unified12l2808              |
|   2   |    [ 1, 3 ]     |             tbl_defense4_rrc_bor_unified12l2901              |
|   2   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2903              |
|   2   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2905              |
|   2   |    [ 2, 3 ]     |                           cond-94                            |
|   2   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3258              |
|   2   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3261              |
|   2   |   [ 0, 11 ]     |             tbl_defense4_rrc_bor_unified12l3247              |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   2   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |   [ 1, 11 ]     |             tbl_defense4_rrc_bor_unified12l3266              |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   3   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2878              |
|   3   |    [ 2, 3 ]     |             tbl_defense4_rrc_bor_unified12l2880              |
|   3   |   [ 2, 11 ]     |             tbl_defense4_rrc_bor_unified12l2883              |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3004              |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3005              |
|   3   |    [ 3, 3 ]     |             tbl_defense4_rrc_bor_unified12l3006              |
|   3   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   3   |    [ 3, 4 ]     |                           cond-112                           |
|   3   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   4   |    [ 4, 4 ]     |             tbl_defense4_rrc_bor_unified12l3013              |
|   4   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   4   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3010              |
|   4   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3007              |
|   4   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3008              |
|   4   |    [ 2, 5 ]     |             tbl_defense4_rrc_bor_unified12l3009              |
|   4   |    [ 0, 9 ]     |             tbl_defense4_rrc_bor_unified12l2762              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2922              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2926              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2932              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2948              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2943              |
|   5   |    [ 4, 5 ]     |             tbl_defense4_rrc_bor_unified12l2945              |
|   5   |    [ 5, 5 ]     |             tbl_defense4_rrc_bor_unified12l3014              |
|   5   |    [ 5, 5 ]     |             tbl_defense4_rrc_bor_unified12l3015              |
|   5   |    [ 5, 6 ]     |             tbl_defense4_rrc_bor_unified12l3016              |
|   5   |    [ 5, 6 ]     |                           cond-117                           |
