Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 15
  Number of stages for ingress table allocation: 15
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 15 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-93                            |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2869               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2875               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2886               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2855               |
|   0   |   [ 0, 10 ]     |                           cond-171                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3758               |
|   0   |   [ 0, 10 ]     |                           cond-173                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3769               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3775               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3778               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3764               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2785               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2857               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2860               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2863               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2922               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2789               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2920               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2921               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2795               |
|   1   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |              tbl_defense4_rrc_bor_sr_probe2798               |
|   1   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3075               |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2924               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2926               |
|   2   |    [ 2, 3 ]     |                           cond-101                           |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3783               |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   3   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2899               |
|   3   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2901               |
|   3   |   [ 2, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2904               |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   3   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3577               |
|   3   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   4   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2943               |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2947               |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2953               |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2969               |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2964               |
|   5   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2966               |
|   6   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   6   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   7   |    [ 6, 7 ]     |              tbl_defense4_rrc_bor_sr_probe2994               |
|   7   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3039               |
|   7   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3045               |
|   8   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3029               |
|   8   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3021               |
|   8   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3023               |
|   8   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3014               |
