Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 10
Invoking table placement without container conflicts because first round of table placement required 13 stages.
Number of tables allocated: 125
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 2 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 3 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 3 ]     |                           cond-78                            |
|   0   |    [ 0, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2463           |
|   0   |    [ 0, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2469           |
|   0   |    [ 0, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2480           |
|   0   |    [ 0, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2449           |
|   0   |   [ 0, 10 ]     |                           cond-141                           |
|   0   |   [ 0, 10 ]     |           tbl_defense4_rrc_stagerecovery_probe3175           |
|   0   |   [ 0, 10 ]     |                           cond-143                           |
|   0   |   [ 0, 10 ]     |           tbl_defense4_rrc_stagerecovery_probe3186           |
|   0   |   [ 0, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe3192           |
|   0   |   [ 0, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe3195           |
|   0   |   [ 0, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe3181           |
|   0   |   [ 0, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe2394           |
|   1   |    [ 1, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2451           |
|   1   |    [ 1, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2454           |
|   1   |    [ 1, 3 ]     |           tbl_defense4_rrc_stagerecovery_probe2457           |
|   1   |    [ 1, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2516           |
|   1   |    [ 0, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2398           |
|   1   |    [ 1, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2514           |
|   1   |    [ 1, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2515           |
|   1   |    [ 0, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2404           |
|   1   |   [ 1, 10 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |           tbl_defense4_rrc_stagerecovery_probe2407           |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   1   |   [ 1, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe3200           |
|   1   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |    [ 1, 5 ]     |                    Ingress.tbl_build_now                     |
|   2   |    [ 2, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2518           |
|   2   |    [ 2, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2520           |
|   2   |    [ 2, 4 ]     |                           cond-86                            |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 2, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2493           |
|   3   |    [ 2, 4 ]     |           tbl_defense4_rrc_stagerecovery_probe2495           |
|   3   |   [ 2, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe2498           |
|   3   |    [ 2, 6 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 6 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |   [ 1, 11 ]     |           tbl_defense4_rrc_stagerecovery_probe2998           |
|   4   |    [ 3, 5 ]     |                  Ingress.tbl_resp_authorise                  |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2537           |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2541           |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2547           |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2563           |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2558           |
|   5   |    [ 4, 6 ]     |           tbl_defense4_rrc_stagerecovery_probe2560           |
|   6   |    [ 5, 7 ]     |                   Ingress.tbl_state_decode                   |
|   6   |    [ 5, 7 ]     |                    Ingress.tbl_txn_active                    |
|   7   |    [ 6, 8 ]     |           tbl_defense4_rrc_stagerecovery_probe2593           |
|   7   |    [ 6, 9 ]     |           tbl_defense4_rrc_stagerecovery_probe2591           |
|   7   |    [ 6, 8 ]     |           tbl_defense4_rrc_stagerecovery_probe2584           |
|   7   |    [ 6, 9 ]     |           tbl_defense4_rrc_stagerecovery_probe2582           |
|   7   |   [ 6, 10 ]     |           tbl_defense4_rrc_stagerecovery_probe2603           |
|   7   |   [ 6, 10 ]     |           tbl_defense4_rrc_stagerecovery_probe2609           |
|   8   |    [ 7, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
|   8   |    [ 7, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   8   |   [ 7, 10 ]     |                           cond-100                           |
