capture_epoch_index,case_id,source_transaction_id,transaction_class,protected_inner_length,source_kind,source_ref,primary_rn_l,status,slot_status
0,rn-l-0017-05,rn-l-0017-05,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
1,rn-l-0058-19,rn-l-0058-19,READ_LENGTH_STRESS,58,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
2,rn-l-0017-01,rn-l-0017-01,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
3,rn-l-0017-13,rn-l-0017-13,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
4,rn-l-1574-18,rn-l-1574-18,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
5,rn-l-1574-10,rn-l-1574-10,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
6,rn-l-0017-02,rn-l-0017-02,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
7,rn-l-0017-04,rn-l-0017-04,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
8,rn-l-1574-00,rn-l-1574-00,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
9,rn-l-1574-06,rn-l-1574-06,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
10,rn-l-1574-11,rn-l-1574-11,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
11,rn-l-1574-13,rn-l-1574-13,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
12,rn-l-1574-09,rn-l-1574-09,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
13,rn-l-0017-10,rn-l-0017-10,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
14,rn-l-1574-17,rn-l-1574-17,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
15,rn-l-0049-01,rn-l-0049-01,READ_LENGTH_STRESS,49,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
16,rn-l-0243-19,rn-l-0243-19,READ_LENGTH_STRESS,243,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
17,rn-l-0243-17,rn-l-0243-17,READ_LENGTH_STRESS,243,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
18,rn-l-0058-09,rn-l-0058-09,READ_LENGTH_STRESS,58,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
19,rn-l-0049-06,rn-l-0049-06,READ_LENGTH_STRESS,49,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
20,rn-l-1574-15,rn-l-1574-15,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
21,rn-l-0058-18,rn-l-0058-18,READ_LENGTH_STRESS,58,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
22,rn-l-1574-01,rn-l-1574-01,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
23,rn-l-1574-16,rn-l-1574-16,READ_LENGTH_STRESS,1574,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
24,rn-l-0049-07,rn-l-0049-07,READ_LENGTH_STRESS,49,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
25,rn-l-0049-11,rn-l-0049-11,READ_LENGTH_STRESS,49,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
26,rn-l-0017-15,rn-l-0017-15,READ_LENGTH_STRESS,17,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
27,rn-l-0243-11,rn-l-0243-11,READ_LENGTH_STRESS,243,synthetic,deterministic Ethernet/IPv4/TCP fixture,1,success,request:data|ack:data|response:data|tail:data
