capture_epoch_index,case_id,status,primary_rn_l,protected_inner_length,exact_recovery,input_sha256,decoded_sha256,request_bundle_bytes,ack_bundle_bytes,response_bundle_bytes,tail_bundle_bytes,slot_status,source_kind,source_ref
0,rn-l-0017-05,success,1,17,1,42b6a6b47cf74b7b14d7fc3d21f9431a4f35b1775bed19a3e63a1a67cd358450,42b6a6b47cf74b7b14d7fc3d21f9431a4f35b1775bed19a3e63a1a67cd358450,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
1,rn-l-0058-19,success,1,58,1,31ee5b5fc19807ac2b18d277aba9d8e31e1f7a69eeac46b34e8953129711b7d4,31ee5b5fc19807ac2b18d277aba9d8e31e1f7a69eeac46b34e8953129711b7d4,78,58,116,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
2,rn-l-0017-01,success,1,17,1,3c6ad0919627fa0cf2a35ca083e8a6a5510df0bac1cf14161e358cbb622524df,3c6ad0919627fa0cf2a35ca083e8a6a5510df0bac1cf14161e358cbb622524df,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
3,rn-l-0017-13,success,1,17,1,db6f061f521dfa030d3a148bebfd5b402be474e1bd6cb0ff4f9f824fd0834da0,db6f061f521dfa030d3a148bebfd5b402be474e1bd6cb0ff4f9f824fd0834da0,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
4,rn-l-1574-18,success,1,1574,1,f58694059439d41ab191aa97caf67fda8af5a6af08395b38ec02a6b46fa00d7f,f58694059439d41ab191aa97caf67fda8af5a6af08395b38ec02a6b46fa00d7f,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
5,rn-l-1574-10,success,1,1574,1,7f24e51f40835b0a2e094f80dc86e1d02b6f8e27e6f75925d867016e0cf501de,7f24e51f40835b0a2e094f80dc86e1d02b6f8e27e6f75925d867016e0cf501de,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
6,rn-l-0017-02,success,1,17,1,cbe6990510e77aee2af770789e2d5f74e061ed4237c13ad6bc6336644e9109e0,cbe6990510e77aee2af770789e2d5f74e061ed4237c13ad6bc6336644e9109e0,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
7,rn-l-0017-04,success,1,17,1,3626527f8c0f1d3a3679735673fa740e22a76d8c0bfd13ad1245c4115190c427,3626527f8c0f1d3a3679735673fa740e22a76d8c0bfd13ad1245c4115190c427,78,58,75,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
8,rn-l-1574-00,success,1,1574,1,7ec8d0ac682f446fd39b1f26c10977bcfeb72f28d612271838a271f98b3c948b,7ec8d0ac682f446fd39b1f26c10977bcfeb72f28d612271838a271f98b3c948b,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
9,rn-l-1574-06,success,1,1574,1,489ce15e651ada4711eb72301299d6434518c7866f66c21bc8f69796f9c8643e,489ce15e651ada4711eb72301299d6434518c7866f66c21bc8f69796f9c8643e,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
10,rn-l-1574-11,success,1,1574,1,587cfc98f1fc207db161012a5a9bdb92a0a6409b375d7e10f4b6eb0f76928901,587cfc98f1fc207db161012a5a9bdb92a0a6409b375d7e10f4b6eb0f76928901,78,58,1922,58,request:data|ack:data|response:data|tail:data,synthetic,deterministic Ethernet/IPv4/TCP fixture
