bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041285976069,6,16,22,5632,0
2,1787041286186069,5,16,21,5376,0
3,1787041286396069,7,16,23,5888,0
4,1787041286606069,6,16,22,5632,0
5,1787041286816069,6,16,22,5632,83
6,1787041287026069,6,16,22,5632,0
7,1787041287236069,6,16,22,5632,115
8,1787041287446069,6,16,22,5632,122
9,1787041287656069,6,16,22,5632,141
10,1787041287866069,6,16,22,5632,170
11,1787041288076069,3,16,19,4864,83
12,1787041288286069,9,16,25,6400,115
13,1787041288496069,6,16,22,5632,122
14,1787041288706069,6,16,22,5632,141
15,1787041288916069,6,16,22,5632,170
16,1787041289126069,6,16,22,5632,83
17,1787041289336069,6,16,22,5632,115
18,1787041289546069,6,16,22,5632,122
19,1787041289756069,6,16,22,5632,141
20,1787041289966069,6,16,22,5632,170
21,1787041290176069,6,16,22,5632,83
22,1787041290386069,6,16,22,5632,115
23,1787041290596069,6,16,22,5632,122
24,1787041290806069,6,16,22,5632,141
25,1787041291016069,6,16,22,5632,170
26,1787041291226069,6,16,22,5632,83
27,1787041291436069,6,16,22,5632,115
28,1787041291646069,6,16,22,5632,122
29,1787041291856069,6,16,22,5632,141
30,1787041292066069,6,16,22,5632,170
31,1787041292276069,6,16,22,5632,83
32,1787041292486069,6,16,22,5632,115
33,1787041292696069,6,16,22,5632,122
34,1787041292906069,5,16,21,5376,141
35,1787041293116069,7,16,23,5888,170
36,1787041293326069,6,16,22,5632,83
37,1787041293536069,6,16,22,5632,115
38,1787041293746069,4,16,20,5120,122
39,1787041293956069,8,16,24,6144,141
40,1787041294166069,6,16,22,5632,170
41,1787041294376069,6,16,22,5632,83
42,1787041294586069,6,16,22,5632,115
43,1787041294796069,6,16,22,5632,122
44,1787041295006069,6,16,22,5632,141
45,1787041295216069,6,16,22,5632,170
46,1787041295426069,6,16,22,5632,0
47,1787041295636069,6,16,22,5632,0
48,1787041295846069,6,16,22,5632,0
49,1787041296056069,6,16,22,5632,0
50,1787041296266069,6,16,22,5632,0
51,1787041296476069,6,16,22,5632,0
52,1787041296686069,4,16,20,5120,0
53,1787041296896069,8,16,24,6144,0
54,1787041297106069,5,16,21,5376,0
55,1787041297316069,7,16,23,5888,0
56,1787041297526069,6,16,22,5632,0
57,1787041297736069,6,16,22,5632,0
58,1787041297946069,6,16,22,5632,0
59,1787041298156069,3,16,19,4864,0
60,1787041298366069,9,16,25,6400,0
61,1787041298576069,6,16,22,5632,0
62,1787041298786069,6,16,22,5632,0
63,1787041298996069,6,16,22,5632,0
64,1787041299206069,5,16,21,5376,0
65,1787041299416069,7,16,23,5888,0
66,1787041299626069,6,16,22,5632,0
67,1787041299836069,6,16,22,5632,0
68,1787041300046069,6,16,22,5632,0
69,1787041300256069,6,16,22,5632,0
70,1787041300466069,6,16,22,5632,0
71,1787041300676069,6,16,22,5632,0
72,1787041300886069,6,16,22,5632,0
73,1787041301096069,6,16,22,5632,0
74,1787041301306069,6,16,22,5632,0
75,1787041301516069,6,16,22,5632,0
76,1787041301726069,6,16,22,5632,0
77,1787041301936069,6,16,22,5632,0
78,1787041302146069,5,16,21,5376,0
79,1787041302356069,7,16,23,5888,0
80,1787041302566069,6,16,22,5632,0
81,1787041302776069,6,16,22,5632,0
82,1787041302986069,6,16,22,5632,0
83,1787041303196069,6,16,22,5632,0
84,1787041303406069,6,16,22,5632,0
85,1787041303616069,6,16,22,5632,0
86,1787041303826069,6,16,22,5632,0
87,1787041304036069,6,16,22,5632,0
88,1787041304246069,6,16,22,5632,0
89,1787041304456069,5,16,21,5376,0
90,1787041304666069,6,16,22,5632,0
91,1787041304876069,7,16,23,5888,0
92,1787041305086069,6,16,22,5632,0
93,1787041305296069,6,16,22,5632,0
94,1787041305506069,5,16,21,5376,0
95,1787041305716069,7,16,23,5888,0
96,1787041305926069,6,16,22,5632,0
97,1787041306136069,4,16,20,5120,0
98,1787041306346069,8,16,24,6144,0
99,1787041306556069,6,16,22,5632,0
100,1787041306766069,6,16,22,5632,0
101,1787041306976069,6,16,22,5632,0
102,1787041307186069,6,16,22,5632,0
103,1787041307396069,6,16,22,5632,0
104,1787041307606069,6,16,22,5632,0
105,1787041307816069,5,16,21,5376,0
106,1787041308026069,7,16,23,5888,0
107,1787041308236069,6,16,22,5632,0
108,1787041308446069,6,16,22,5632,0
109,1787041308656069,3,16,19,4864,0
110,1787041308866069,9,16,25,6400,0
111,1787041309076069,6,16,22,5632,0
112,1787041309286069,6,16,22,5632,0
113,1787041309496069,6,16,22,5632,0
114,1787041309706069,5,16,21,5376,0
115,1787041309916069,7,16,23,5888,0
116,1787041310126069,6,16,22,5632,0
117,1787041310336069,6,16,22,5632,0
118,1787041310546069,6,16,22,5632,0
119,1787041310756069,6,16,22,5632,0
120,1787041310966069,6,16,22,5632,0
121,1787041311176069,6,16,22,5632,0
122,1787041311386069,6,16,22,5632,0
123,1787041311596069,6,16,22,5632,0
124,1787041311806069,6,16,22,5632,0
125,1787041312016069,6,16,22,5632,0
126,1787041312226069,6,16,22,5632,0
127,1787041312436069,6,16,22,5632,0
128,1787041312646069,6,16,22,5632,0
129,1787041312856069,6,16,22,5632,0
130,1787041313066069,6,16,22,5632,0
131,1787041313276069,5,16,21,5376,0
132,1787041313486069,7,16,23,5888,0
133,1787041313696069,3,16,19,4864,0
134,1787041313906069,9,16,25,6400,0
135,1787041314116069,6,16,22,5632,0
136,1787041314326069,3,16,19,4864,0
137,1787041314536069,8,16,24,6144,0
138,1787041314746069,7,16,23,5888,0
139,1787041314956069,5,16,21,5376,0
140,1787041315166069,7,16,23,5888,0
141,1787041315376069,6,16,22,5632,0
142,1787041315586069,6,16,22,5632,0
143,1787041315796069,6,16,22,5632,0
144,1787041316006069,6,16,22,5632,0
145,1787041316216069,6,16,22,5632,0
146,1787041316426069,5,16,21,5376,0
147,1787041316636069,7,16,23,5888,0
148,1787041316846069,6,16,22,5632,0
149,1787041317056069,6,16,22,5632,0
150,1787041317266069,6,16,22,5632,0
151,1787041317476069,6,16,22,5632,0
152,1787041317686069,4,16,20,5120,0
153,1787041317896069,8,16,24,6144,0
154,1787041318106069,6,16,22,5632,0
155,1787041318316069,6,16,22,5632,0
156,1787041318526069,6,16,22,5632,0
157,1787041318736069,6,16,22,5632,0
158,1787041318946069,5,16,21,5376,0
159,1787041319156069,7,16,23,5888,0
160,1787041319366069,6,16,22,5632,0
161,1787041319576069,6,16,22,5632,0
162,1787041319786069,6,16,22,5632,0
163,1787041319996069,6,16,22,5632,0
164,1787041320206069,3,16,19,4864,0
165,1787041320416069,9,16,25,6400,0
166,1787041320626069,6,16,22,5632,0
167,1787041320836069,6,16,22,5632,0
168,1787041321046069,6,16,22,5632,0
169,1787041321256069,6,16,22,5632,0
170,1787041321466069,6,16,22,5632,0
171,1787041321676069,5,16,21,5376,0
172,1787041321886069,7,16,23,5888,0
173,1787041322096069,6,16,22,5632,0
174,1787041322306069,6,16,22,5632,0
175,1787041322516069,5,16,21,5376,0
