bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041345809677,6,16,22,5632,0
2,1787041346019677,6,16,22,5632,0
3,1787041346229677,6,16,22,5632,0
4,1787041346439677,6,16,22,5632,0
5,1787041346649677,6,16,22,5632,83
6,1787041346859677,6,16,22,5632,0
7,1787041347069677,6,16,22,5632,115
8,1787041347279677,6,16,22,5632,122
9,1787041347489677,6,16,22,5632,141
10,1787041347699677,6,16,22,5632,170
11,1787041347909677,5,16,21,5376,83
12,1787041348119677,7,16,23,5888,115
13,1787041348329677,6,16,22,5632,122
14,1787041348539677,6,16,22,5632,141
15,1787041348749677,6,16,22,5632,170
16,1787041348959677,6,16,22,5632,83
17,1787041349169677,6,16,22,5632,115
18,1787041349379677,6,16,22,5632,122
19,1787041349589677,6,16,22,5632,141
20,1787041349799677,5,16,21,5376,170
21,1787041350009677,6,16,22,5632,83
22,1787041350219677,7,16,23,5888,115
23,1787041350429677,5,16,21,5376,122
24,1787041350639677,7,16,23,5888,141
25,1787041350849677,6,16,22,5632,170
26,1787041351059677,5,16,21,5376,83
27,1787041351269677,7,16,23,5888,115
28,1787041351479677,5,16,21,5376,122
29,1787041351689677,7,16,23,5888,141
30,1787041351899677,6,16,22,5632,170
31,1787041352109677,6,16,22,5632,0
32,1787041352319677,6,16,22,5632,0
33,1787041352529677,6,16,22,5632,0
34,1787041352739677,5,16,21,5376,0
35,1787041352949677,5,16,21,5376,0
36,1787041353159677,6,16,22,5632,0
37,1787041353369677,7,16,23,5888,0
38,1787041353579677,6,16,22,5632,0
39,1787041353789677,5,16,21,5376,0
40,1787041353999677,6,16,22,5632,0
41,1787041354209677,6,16,22,5632,0
42,1787041354419677,6,16,22,5632,0
43,1787041354629677,8,16,24,6144,0
44,1787041354839677,5,16,21,5376,0
