bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041360952333,6,16,22,5632,0
2,1787041361162333,6,16,22,5632,0
3,1787041361372333,6,17,23,5888,0
4,1787041361582333,6,16,22,5632,0
5,1787041361792333,6,16,22,5632,83
6,1787041362002333,6,16,22,5632,0
7,1787041362212333,6,16,22,5632,115
8,1787041362422333,6,16,22,5632,122
9,1787041362632333,6,16,22,5632,141
10,1787041362842333,6,16,22,5632,170
11,1787041363052333,6,16,22,5632,83
12,1787041363262333,6,16,22,5632,115
13,1787041363472333,6,16,22,5632,122
14,1787041363682333,6,16,22,5632,141
15,1787041363892333,6,16,22,5632,170
16,1787041364102333,6,16,22,5632,83
17,1787041364312333,6,16,22,5632,115
18,1787041364522333,6,17,23,5888,122
19,1787041364732333,6,15,21,5376,141
20,1787041364942333,6,16,22,5632,170
21,1787041365152333,6,16,22,5632,83
22,1787041365362333,6,16,22,5632,115
23,1787041365572333,6,16,22,5632,122
24,1787041365782333,6,16,22,5632,141
25,1787041365992333,6,16,22,5632,170
26,1787041366202333,6,17,23,5888,83
27,1787041366412333,6,15,21,5376,115
28,1787041366622333,6,16,22,5632,122
29,1787041366832333,6,16,22,5632,141
30,1787041367042333,6,16,22,5632,170
31,1787041367252333,6,16,22,5632,0
32,1787041367462333,6,16,22,5632,0
33,1787041367672333,6,16,22,5632,0
34,1787041367882333,6,16,22,5632,0
35,1787041368092333,6,16,22,5632,0
36,1787041368302333,6,16,22,5632,0
37,1787041368512333,6,16,22,5632,0
38,1787041368722333,6,16,22,5632,0
39,1787041368932333,6,16,22,5632,0
40,1787041369142333,6,16,22,5632,0
41,1787041369352333,6,16,22,5632,0
42,1787041369562333,6,16,22,5632,0
43,1787041369772333,6,16,22,5632,0
44,1787041369982333,6,16,22,5632,0
