index,timestamp_us,interface,packet_type,packet_type_name,wire_len,dst_mac,src_mac,ethertype,direction,key_epoch,cell_counter,capture_epoch_index,relative_time_us
0,1786990970399225,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,0,0,0
1,1786990970399294,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,1,0,69
2,1786990970399318,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,2,0,93
3,1786990970399529,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,3,0,304
4,1786990970400075,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,0,0,850
5,1786990970400114,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,1,0,889
6,1786990970599618,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,2,0,200393
7,1786990970599669,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,3,0,200444
8,1786990970599691,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,4,0,200466
9,1786990970599708,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,5,0,200483
10,1786990970599808,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,6,0,200583
11,1786990970600062,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,7,0,200837
12,1786990970600299,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,8,0,201074
13,1786990970600554,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,9,0,201329
14,1786990970600800,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,10,0,201575
15,1786990970601050,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,11,0,201825
16,1786990970601299,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,12,0,202074
17,1786990970601560,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,13,0,202335
18,1786990970601797,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,14,0,202572
19,1786990970602053,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,15,0,202828
20,1786990970603239,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,4,0,204014
21,1786990970603259,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,5,0,204034
22,1786990970609071,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,6,1,0
