bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041376119874,6,16,22,5632,0
2,1787041376329874,6,16,22,5632,0
3,1787041376539874,6,16,22,5632,0
4,1787041376749874,6,16,22,5632,0
5,1787041376959874,6,16,22,5632,83
6,1787041377169874,6,16,22,5632,0
7,1787041377379874,6,16,22,5632,115
8,1787041377589874,6,16,22,5632,122
9,1787041377799874,6,16,22,5632,141
10,1787041378009874,6,16,22,5632,170
11,1787041378219874,6,16,22,5632,83
12,1787041378429874,6,16,22,5632,115
13,1787041378639874,6,16,22,5632,122
14,1787041378849874,6,16,22,5632,141
15,1787041379059874,6,16,22,5632,170
16,1787041379269874,6,16,22,5632,83
17,1787041379479874,6,16,22,5632,115
18,1787041379689874,6,16,22,5632,122
19,1787041379899874,6,16,22,5632,141
20,1787041380109874,6,16,22,5632,170
21,1787041380319874,6,16,22,5632,83
22,1787041380529874,6,16,22,5632,115
23,1787041380739874,6,16,22,5632,122
24,1787041380949874,6,16,22,5632,141
25,1787041381159874,6,16,22,5632,170
26,1787041381369874,6,16,22,5632,83
27,1787041381579874,6,16,22,5632,115
28,1787041381789874,6,16,22,5632,122
29,1787041381999874,6,16,22,5632,141
30,1787041382209874,6,16,22,5632,170
31,1787041382419874,6,16,22,5632,0
32,1787041382629874,6,16,22,5632,0
33,1787041382839874,6,16,22,5632,0
34,1787041383049874,6,16,22,5632,0
35,1787041383259874,6,16,22,5632,0
36,1787041383469874,6,16,22,5632,0
37,1787041383679874,6,16,22,5632,0
38,1787041383889874,6,16,22,5632,0
39,1787041384099874,6,16,22,5632,0
40,1787041384309874,6,16,22,5632,0
41,1787041384519874,6,16,22,5632,0
42,1787041384729874,6,16,22,5632,0
43,1787041384939874,6,16,22,5632,0
44,1787041385149874,6,16,22,5632,0
