bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041391340619,6,16,22,5632,0
2,1787041391550619,6,16,22,5632,0
3,1787041391760619,6,17,23,5888,0
4,1787041391970619,6,16,22,5632,0
5,1787041392180619,6,16,22,5632,83
6,1787041392390619,5,16,21,5376,0
7,1787041392600619,7,16,23,5888,115
8,1787041392810619,6,16,22,5632,122
9,1787041393020619,6,16,22,5632,141
10,1787041393230619,6,16,22,5632,170
11,1787041393440619,6,16,22,5632,83
12,1787041393650619,6,16,22,5632,115
13,1787041393860619,6,16,22,5632,122
14,1787041394070619,6,16,22,5632,141
15,1787041394280619,6,16,22,5632,170
16,1787041394490619,6,16,22,5632,83
17,1787041394700619,6,16,22,5632,115
18,1787041394910619,6,16,22,5632,122
19,1787041395120619,6,16,22,5632,141
20,1787041395330619,6,16,22,5632,170
21,1787041395540619,6,16,22,5632,83
22,1787041395750619,6,16,22,5632,115
23,1787041395960619,6,16,22,5632,122
24,1787041396170619,6,16,22,5632,141
25,1787041396380619,6,16,22,5632,170
26,1787041396590619,3,16,19,4864,83
27,1787041396800619,9,16,25,6400,115
28,1787041397010619,6,16,22,5632,122
29,1787041397220619,6,16,22,5632,141
30,1787041397430619,6,16,22,5632,170
31,1787041397640619,6,16,22,5632,0
32,1787041397850619,6,16,22,5632,0
33,1787041398060619,6,16,22,5632,0
34,1787041398270619,6,16,22,5632,0
35,1787041398480619,6,16,22,5632,0
36,1787041398690619,6,16,22,5632,0
37,1787041398900619,6,16,22,5632,0
38,1787041399110619,5,16,21,5376,0
39,1787041399320619,7,16,23,5888,0
40,1787041399530619,6,16,22,5632,0
41,1787041399740619,6,16,22,5632,0
42,1787041399950619,6,16,22,5632,0
43,1787041400160619,6,16,22,5632,0
44,1787041400370619,6,16,22,5632,0
