bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041332261993,6,16,22,5632,0
2,1787041332471993,6,16,22,5632,0
3,1787041332681993,6,16,22,5632,0
4,1787041332891993,6,16,22,5632,0
5,1787041333101993,6,16,22,5632,83
6,1787041333311993,6,16,22,5632,0
7,1787041333521993,6,16,22,5632,115
8,1787041333731993,6,16,22,5632,122
9,1787041333941993,6,16,22,5632,141
10,1787041334151993,6,16,22,5632,170
11,1787041334361993,6,16,22,5632,0
12,1787041334571993,6,16,22,5632,0
13,1787041334781993,6,16,22,5632,0
14,1787041334991993,6,16,22,5632,0
15,1787041335201993,5,16,21,5376,83
16,1787041335411993,7,16,23,5888,0
17,1787041335621993,6,16,22,5632,115
18,1787041335831993,6,16,22,5632,122
19,1787041336041993,6,16,22,5632,141
20,1787041336251993,6,16,22,5632,170
21,1787041336461993,6,16,22,5632,0
22,1787041336671993,6,16,22,5632,0
23,1787041336881993,6,16,22,5632,0
24,1787041337091993,6,16,22,5632,0
25,1787041337301993,6,16,22,5632,83
26,1787041337511993,6,16,22,5632,0
27,1787041337721993,6,16,22,5632,115
28,1787041337931993,6,16,22,5632,122
29,1787041338141993,6,16,22,5632,141
30,1787041338351993,6,16,22,5632,170
31,1787041338561993,6,16,22,5632,0
32,1787041338771993,6,16,22,5632,0
33,1787041338981993,5,16,21,5376,0
34,1787041339191993,7,16,23,5888,0
35,1787041339401993,6,16,22,5632,0
36,1787041339611993,6,16,22,5632,0
37,1787041339821993,6,16,22,5632,0
38,1787041340031993,6,16,22,5632,0
39,1787041340241993,6,16,22,5632,0
40,1787041340451993,6,16,22,5632,0
41,1787041340661993,6,16,22,5632,0
42,1787041340871993,6,16,22,5632,0
43,1787041341081993,6,16,22,5632,0
44,1787041341291993,6,16,22,5632,0
