index,timestamp_us,interface,packet_type,packet_type_name,wire_len,dst_mac,src_mac,ethertype,direction,key_epoch,cell_counter
0,1786990943084462,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,0
1,1786990943084534,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,1
2,1786990943084562,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,2
3,1786990943084582,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,3
4,1786990943085164,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,0
5,1786990943085204,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,1
6,1786990943285405,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,2
7,1786990943285469,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,3
8,1786990943285492,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,4
9,1786990943285510,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,5
10,1786990943285526,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,6
11,1786990943285540,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,7
12,1786990943285555,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,8
13,1786990943285609,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,9
14,1786990943285812,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,10
15,1786990943286125,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,11
16,1786990943286383,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,12
17,1786990943286626,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,13
18,1786990943286865,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,14
19,1786990943287111,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,15
20,1786990943287460,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,4
21,1786990943287499,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,5
22,1786990943294047,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,6
23,1786990943294103,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,7
24,1786990943294364,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,8
25,1786990943294515,l_left,3,otherhost,256,02:00:00:00:00:02,02:00:00:00:00:01,0x88b5,forward,1,9
26,1786990943295150,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,16
27,1786990943295186,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,17
28,1786990943494836,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,18
29,1786990943494905,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,19
30,1786990943494928,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,20
31,1786990943494946,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,21
32,1786990943494962,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,22
33,1786990943495005,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,23
34,1786990943495363,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,24
35,1786990943495636,l_left,4,outgoing,256,02:00:00:00:00:01,02:00:00:00:00:02,0x88b5,reverse,1,25
