capture_epoch_index,inner_length
0,0
1,0
2,0
3,0
4,0
5,83
6,0
7,115
8,122
9,141
10,170
11,83
12,115
13,122
14,141
15,170
16,83
17,115
18,122
19,141
20,170
21,83
22,115
23,122
24,141
25,83
26,0
27,115
28,122
29,141
30,170
31,83
32,115
33,122
34,141
35,170
36,83
37,115
38,122
39,141
40,170
41,83
42,115
43,122
44,141
45,170
46,83
47,115
48,122
49,141
50,170
51,83
52,115
53,122
54,141
55,170
56,83
57,115
58,122
59,141
60,170
61,83
62,115
63,122
64,141
65,170
66,83
67,115
68,122
69,141
70,170
71,83
72,115
73,122
74,141
75,170
76,83
77,115
78,141
79,0
80,170
81,83
82,115
83,122
84,141
85,170
86,83
87,115
88,122
89,141
90,170
91,83
92,115
93,122
94,141
95,170
96,83
97,122
98,141
99,170
100,83
101,0
102,115
103,122
104,141
105,170
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
