bin,t_start,fwd_count,rev_count,cell_count,total_outer_bytes,inner_label
1,1787041211036511,6,16,22,5632,0
2,1787041211246511,6,16,22,5632,0
3,1787041211456511,6,16,22,5632,0
4,1787041211666511,6,16,22,5632,0
5,1787041211876511,6,16,22,5632,83
6,1787041212086511,6,16,22,5632,0
7,1787041212296511,6,16,22,5632,115
8,1787041212506511,6,16,22,5632,122
9,1787041212716511,6,16,22,5632,141
10,1787041212926511,6,16,22,5632,170
11,1787041213136511,6,16,22,5632,83
12,1787041213346511,3,16,19,4864,115
13,1787041213556511,9,16,25,6400,122
14,1787041213766511,6,16,22,5632,141
15,1787041213976511,6,16,22,5632,170
16,1787041214186511,6,16,22,5632,83
17,1787041214396511,6,16,22,5632,115
18,1787041214606511,6,16,22,5632,122
19,1787041214816511,6,16,22,5632,141
20,1787041215026511,6,16,22,5632,170
21,1787041215236511,6,16,22,5632,83
22,1787041215446511,5,16,21,5376,115
23,1787041215656511,7,16,23,5888,122
24,1787041215866511,5,16,21,5376,141
25,1787041216076511,7,16,23,5888,170
26,1787041216286511,6,16,22,5632,83
27,1787041216496511,6,16,22,5632,115
28,1787041216706511,6,16,22,5632,122
29,1787041216916511,6,16,22,5632,141
30,1787041217126511,6,16,22,5632,170
31,1787041217336511,3,16,19,4864,83
32,1787041217546511,9,16,25,6400,115
33,1787041217756511,6,16,22,5632,122
34,1787041217966511,6,16,22,5632,141
35,1787041218176511,6,16,22,5632,170
36,1787041218386511,6,16,22,5632,83
37,1787041218596511,6,16,22,5632,115
38,1787041218806511,6,16,22,5632,122
39,1787041219016511,6,16,22,5632,141
40,1787041219226511,5,16,21,5376,170
41,1787041219436511,7,16,23,5888,83
42,1787041219646511,6,16,22,5632,115
43,1787041219856511,6,16,22,5632,122
44,1787041220066511,6,16,22,5632,141
45,1787041220276511,6,16,22,5632,170
46,1787041220486511,6,16,22,5632,83
47,1787041220696511,6,16,22,5632,115
48,1787041220906511,6,16,22,5632,122
49,1787041221116511,6,16,22,5632,141
50,1787041221326511,6,16,22,5632,170
51,1787041221536511,6,16,22,5632,83
52,1787041221746511,6,16,22,5632,115
53,1787041221956511,6,16,22,5632,122
54,1787041222166511,6,16,22,5632,141
55,1787041222376511,6,16,22,5632,170
56,1787041222586511,6,16,22,5632,83
57,1787041222796511,6,16,22,5632,115
58,1787041223006511,6,16,22,5632,122
59,1787041223216511,6,16,22,5632,141
60,1787041223426511,6,16,22,5632,170
61,1787041223636511,6,16,22,5632,83
62,1787041223846511,6,16,22,5632,115
63,1787041224056511,6,16,22,5632,122
64,1787041224266511,6,16,22,5632,141
65,1787041224476511,6,16,22,5632,170
66,1787041224686511,6,16,22,5632,83
67,1787041224896511,6,16,22,5632,115
68,1787041225106511,6,16,22,5632,122
69,1787041225316511,6,16,22,5632,141
70,1787041225526511,6,16,22,5632,170
71,1787041225736511,6,16,22,5632,83
72,1787041225946511,6,16,22,5632,115
73,1787041226156511,6,16,22,5632,122
74,1787041226366511,6,16,22,5632,141
75,1787041226576511,6,16,22,5632,170
76,1787041226786511,6,16,22,5632,83
77,1787041226996511,6,16,22,5632,115
78,1787041227206511,4,16,20,5120,122
79,1787041227416511,8,16,24,6144,141
80,1787041227626511,6,16,22,5632,170
81,1787041227836511,6,16,22,5632,83
82,1787041228046511,5,16,21,5376,115
83,1787041228256511,7,16,23,5888,122
84,1787041228466511,5,16,21,5376,141
85,1787041228676511,7,16,23,5888,170
86,1787041228886511,6,16,22,5632,83
87,1787041229096511,6,16,22,5632,115
88,1787041229306511,6,16,22,5632,122
89,1787041229516511,6,16,22,5632,141
90,1787041229726511,6,16,22,5632,170
91,1787041229936511,6,16,22,5632,83
92,1787041230146511,6,16,22,5632,115
93,1787041230356511,6,16,22,5632,122
94,1787041230566511,6,16,22,5632,141
95,1787041230776511,6,16,22,5632,170
96,1787041230986511,5,16,21,5376,83
97,1787041231196511,4,16,20,5120,115
98,1787041231406511,9,16,25,6400,122
99,1787041231616511,6,16,22,5632,141
100,1787041231826511,6,16,22,5632,170
101,1787041232036511,6,16,22,5632,83
102,1787041232246511,6,16,22,5632,115
103,1787041232456511,6,16,22,5632,122
104,1787041232666511,6,16,22,5632,141
105,1787041232876511,6,16,22,5632,170
106,1787041233086511,6,16,22,5632,0
107,1787041233296511,6,16,22,5632,0
108,1787041233506511,6,16,22,5632,0
109,1787041233716511,6,16,22,5632,0
110,1787041233926511,5,16,21,5376,0
111,1787041234136511,7,16,23,5888,0
112,1787041234346511,6,16,22,5632,0
113,1787041234556511,6,16,22,5632,0
114,1787041234766511,3,16,19,4864,0
115,1787041234976511,8,16,24,6144,0
116,1787041235186511,7,16,23,5888,0
117,1787041235396511,6,16,22,5632,0
118,1787041235606511,4,16,20,5120,0
119,1787041235816511,8,16,24,6144,0
