session,block,arm,txn_class,clrt_ms,ack_ms,rt_ms
s01,b1,native,READ,26.139021,1.471996,27.611017
s01,b1,native,READ,3.818989,0.48995,4.308939
s01,b1,native,READ,4.112959,0.498056,4.611015
s01,b1,native,READ,3.787994,0.545979,4.333973
s01,b1,native,READ,1.09601,0.567913,1.663923
s01,b1,native,READ,6.33502,0.511169,6.846189
s01,b1,native,READ,1.098156,0.571012,1.669168
s01,b1,native,READ,2.302885,0.520945,2.82383
s01,b1,native,READ,1.113892,0.548124,1.662016
s01,b1,native,READ,1.098156,0.56982,1.667976
s01,b1,native,READ,2.124071,0.532866,2.656937
s01,b1,native,READ,1.091957,0.709057,1.801014
s01,b1,native,READ,2.015829,0.560999,2.576828
s01,b1,native,READ,1.111984,0.545979,1.657963
s01,b1,native,READ,1.11413,0.49901,1.61314
s01,b1,native,READ,1.100063,1.673937,2.774
s01,b1,native,READ,1.207113,0.620842,1.827955
s01,b1,native,SELECT,1.024008,1.586914,2.610922
s01,b1,native,OPERATE,2.911091,0.518799,3.42989
s01,b1,native,READ,1.119137,0.506878,1.626015
s01,b1,native,READ,2.402067,0.509024,2.911091
s01,b1,native,READ,4.045963,0.575066,4.621029
s01,b1,native,READ,3.748178,0.577927,4.326105
s01,b1,native,READ,3.910065,0.561953,4.472017
s01,b1,native,READ,2.629042,1.930952,4.559994
s01,b1,native,READ,3.848076,0.577927,4.426003
s01,b1,native,READ,3.890991,0.564098,4.45509
s01,b1,native,READ,1.096964,0.561953,1.658916
s01,b1,native,SELECT,10.6709,0.511885,11.182785
s01,b1,native,OPERATE,1.847982,0.557899,2.405882
s01,b1,native,READ,1.076221,1.532793,2.609015
s01,b1,native,READ,1.109838,0.535965,1.645803
s01,b1,native,READ,2.116919,0.578165,2.695084
s01,b1,native,READ,1.081944,0.518084,1.600027
s01,b1,native,READ,2.081871,0.544071,2.625942
s01,b1,native,READ,1.16396,0.496149,1.660109
s01,b1,native,SELECT,1.027822,0.561953,1.589775
s01,b1,native,OPERATE,1.933098,1.372099,3.305197
