quantity,class,argument,value
native_clrt_percentile,READ,99,13.0901
native_clrt_percentile,READ,99.9,24.414
native_clrt_percentile,READ,99.99,63.2289
native_clrt_percentile,SELECT,99,12.7713
native_clrt_percentile,SELECT,99.9,22.118
native_clrt_percentile,SELECT,99.99,24.3917
native_clrt_percentile,OPERATE,99,13.9471
native_clrt_percentile,OPERATE,99.9,21.6077
native_clrt_percentile,OPERATE,99.99,24.1228
coverage_vs_deadline,all,8,96.0038
coverage_vs_deadline,all,16,99.6686
coverage_vs_deadline,all,24,99.9053
coverage_vs_deadline,all,28,99.9653
coverage_vs_deadline,all,40,99.9779
coverage_vs_deadline,all,60,99.9874
