session,arm,class,median_ms,q1_ms,q3_ms
s01,native,READ,2.11,1.1199,3.891
s02,native,READ,2.1212,1.1485,3.9344
s03,native,READ,2.1205,1.1442,3.927
s04,native,READ,2.113,1.1461,3.9302
s05,native,READ,2.115,1.123,3.8855
s06,native,READ,2.118,1.1466,3.9118
s07,native,READ,2.1086,1.1158,3.9251
s08,native,READ,2.108,1.1287,3.9153
s09,native,READ,2.1244,1.1437,3.9041
s10,native,READ,2.1214,1.1416,3.926
s11,native,READ,2.1145,1.116,3.8965
s12,native,READ,2.1231,1.1446,3.9185
s13,native,READ,2.1069,1.1189,3.9041
s14,native,READ,2.1179,1.1466,3.9513
s15,native,READ,2.1255,1.1497,3.9051
s16,native,READ,2.1205,1.1447,3.9219
s17,native,READ,2.1194,1.1482,3.926
s18,native,READ,2.1276,1.1489,3.9397
s19,native,READ,2.128,1.1466,3.9513
s20,native,READ,2.105,1.1497,3.9113
s21,native,READ,2.1275,1.1408,3.9133
s22,native,READ,2.1045,1.117,3.8695
s01,obfuscated,READ,4.0002,3.998,4.004
s02,obfuscated,READ,4.0002,3.998,4.003
s03,obfuscated,READ,4.0002,3.9971,4.003
s04,obfuscated,READ,3.9999,3.998,4.003
s05,obfuscated,READ,3.999,3.9961,4.003
s06,obfuscated,READ,4.0002,3.998,4.003
s07,obfuscated,READ,3.999,3.9968,4.003
s08,obfuscated,READ,3.999,3.9968,4.0021
s09,obfuscated,READ,4.0002,3.9978,4.003
s10,obfuscated,READ,4.0002,3.9978,4.004
s11,obfuscated,READ,3.9999,3.9968,4.003
s12,obfuscated,READ,4.0002,3.998,4.004
s13,obfuscated,READ,3.9999,3.9971,4.003
s14,obfuscated,READ,4.0005,3.998,4.004
s15,obfuscated,READ,3.9999,3.9978,4.003
s16,obfuscated,READ,4.0009,3.998,4.004
s17,obfuscated,READ,4.0002,3.998,4.003
s18,obfuscated,READ,4.0002,3.9978,4.004
s19,obfuscated,READ,3.9999,3.9971,4.003
s20,obfuscated,READ,4.0002,3.9978,4.003
s21,obfuscated,READ,3.9999,3.9971,4.004
s22,obfuscated,READ,3.9999,3.9971,4.003
s01,native,SELECT,2.0119,1.0507,3.738
s02,native,SELECT,2.0092,1.0986,3.8448
s03,native,SELECT,2.031,1.0912,3.7413
s04,native,SELECT,2.0574,1.1048,3.8202
s05,native,SELECT,2.0119,1.0457,3.7425
s06,native,SELECT,2.08,1.0457,3.7934
s07,native,SELECT,2.0306,1.0474,3.7289
s08,native,SELECT,2.0552,1.0523,3.7842
s09,native,SELECT,2.0745,1.1041,3.7578
s10,native,SELECT,2.0289,1.0826,3.7425
s11,native,SELECT,2.0475,1.0521,3.7705
s12,native,SELECT,2.002,1.0427,3.7432
s13,native,SELECT,2.069,1.0519,3.7437
