arm,class,percentile,clrt_ms
native,READ,5,1.0929
native,READ,25,1.138
native,READ,50,2.116
native,READ,75,3.916
native,READ,95,6.5372
obfuscated,READ,5,3.9899
obfuscated,READ,25,3.9971
obfuscated,READ,50,3.9999
obfuscated,READ,75,4.003
obfuscated,READ,95,4.0188
native,SELECT,5,1.029
native,SELECT,25,1.0561
native,SELECT,50,2.0499
native,SELECT,75,3.753
native,SELECT,95,6.331
obfuscated,SELECT,5,3.989
obfuscated,SELECT,25,3.9971
obfuscated,SELECT,50,4.0002
obfuscated,SELECT,75,4.003
obfuscated,SELECT,95,4.0169
native,OPERATE,5,1.8289
native,OPERATE,25,1.9471
native,OPERATE,50,2.9374
native,OPERATE,75,4.7742
native,OPERATE,95,7.1406
obfuscated,OPERATE,5,3.9861
obfuscated,OPERATE,25,3.9971
obfuscated,OPERATE,50,3.9999
obfuscated,OPERATE,75,4.0028
obfuscated,OPERATE,95,4.009
