interval,arm,class,median_ms,q1_ms,q3_ms
CLRT,native,READ,2.116,1.138,3.916
CLRT,native,SELECT,2.0499,1.0561,3.753
CLRT,native,OPERATE,2.9374,1.9471,4.7742
CLRT,obfuscated,READ,3.9999,3.9971,4.003
CLRT,obfuscated,SELECT,4.0002,3.9971,4.003
CLRT,obfuscated,OPERATE,3.9999,3.9971,4.0028
Acknowledgment latency,native,READ,0.555,0.515,0.572
Acknowledgment latency,native,SELECT,0.555,0.5062,0.5779
Acknowledgment latency,native,OPERATE,0.5581,0.495,1.17
Acknowledgment latency,obfuscated,READ,21.3361,21.2841,21.3931
Acknowledgment latency,obfuscated,SELECT,21.2388,21.1861,21.286
Acknowledgment latency,obfuscated,OPERATE,20.6499,20.6251,20.6759
