metric,arm,class,median,q1,q3
response_time_ms,native,READ,2.6798,1.6789,4.4963
response_time_ms,native,SELECT,2.6219,1.611,4.3299
response_time_ms,native,OPERATE,3.4649,3.366,5.3761
response_time_ms,obfuscated,READ,25.337,25.2841,25.393
response_time_ms,obfuscated,SELECT,25.239,25.1861,25.286
response_time_ms,obfuscated,OPERATE,24.6499,24.6248,24.6761
per_transaction_frames,native,all,3.291,,
per_transaction_wire_bytes,native,all,297.064,,
per_transaction_frames,obfuscated,all,3.291,,
per_transaction_wire_bytes,obfuscated,all,297.064,,
