quantity,key,argument,value
native_clrt_percentile,READ,99,13.0901
native_clrt_percentile,READ,99.9,24.414
native_clrt_percentile,SELECT,99,12.7713
native_clrt_percentile,SELECT,99.9,22.118
native_clrt_percentile,OPERATE,99,13.9471
native_clrt_percentile,OPERATE,99.9,21.6077
coverage_vs_deadline,all,8,96.0038
coverage_vs_deadline,all,16,99.6686
coverage_vs_deadline,all,24,99.9053
coverage_vs_deadline,all,28,99.9653
coverage_vs_deadline,all,60,99.9874
sweep_point,sw_D4_04_4,4/4,4.0
sweep_point,sw_D4_12_4,12/4,4.0
sweep_point,sw_D4_20_4,20/4,3.999
sweep_point,sw_D4_28_4,28/4,3.999
sweep_point,sw_D4_30_4,30/4,4.001
sweep_point,sw_D4_32_4,32/4,5.503
sweep_point,sw_D4_34_4,34/4,7.498
sweep_point,sw_D4_36_4,36/4,9.507
sweep_point,sw_D4_36_4b,36/4,9.501
sweep_point,sw_D4_22_2,22/2,1.999
sweep_point,sw_D4_16_8,16/8,8.001
sweep_point,sw_D4_12_12,12/12,12.001
sweep_point,sw_D4_08_16,8/16,16.0
sweep_point,sw_D4_04_20,4/20,20.001
sweep_point,sw_D4_02_22,2/22,22.001
sweep_point,sw_D4_23_1,23/1,0.998
