panel,key,argument,value
CLRT only,native,0.6511,0.26581
CLRT only,obfuscated,0.3333,0.00726
CLRT + ACK + RT,native,0.7458,0.58236
CLRT + ACK + RT,obfuscated,0.6568,0.57413
"Obfuscated, CLRT",READ,READ,1.0
"Obfuscated, CLRT",READ,SELECT,0.0
"Obfuscated, CLRT",READ,OPERATE,0.0
"Obfuscated, CLRT",SELECT,READ,1.0
"Obfuscated, CLRT",SELECT,SELECT,0.0
"Obfuscated, CLRT",SELECT,OPERATE,0.0
"Obfuscated, CLRT",OPERATE,READ,1.0
"Obfuscated, CLRT",OPERATE,SELECT,0.0
"Obfuscated, CLRT",OPERATE,OPERATE,0.0
"Obfuscated, all features",READ,READ,0.97
"Obfuscated, all features",READ,SELECT,0.02
"Obfuscated, all features",READ,OPERATE,0.01
"Obfuscated, all features",SELECT,READ,0.851
"Obfuscated, all features",SELECT,SELECT,0.1354
"Obfuscated, all features",SELECT,OPERATE,0.0135
"Obfuscated, all features",OPERATE,READ,0.1333
"Obfuscated, all features",OPERATE,SELECT,0.001
"Obfuscated, all features",OPERATE,OPERATE,0.8656
