panel,true_class,predicted_class,rate
"Timing OFF, CLRT",READ,READ,0.9653
"Timing OFF, CLRT",READ,SELECT,0.0102
"Timing OFF, CLRT",READ,OPERATE,0.0245
"Timing OFF, CLRT",SELECT,READ,0.6219
"Timing OFF, CLRT",SELECT,SELECT,0.351
"Timing OFF, CLRT",SELECT,OPERATE,0.0271
"Timing OFF, CLRT",OPERATE,READ,0.3365
"Timing OFF, CLRT",OPERATE,SELECT,0.0115
"Timing OFF, CLRT",OPERATE,OPERATE,0.6521
"Obfuscated, CLRT",READ,READ,1.0
"Obfuscated, CLRT",READ,SELECT,0.0
"Obfuscated, CLRT",READ,OPERATE,0.0
"Obfuscated, CLRT",SELECT,READ,1.0
"Obfuscated, CLRT",SELECT,SELECT,0.0
"Obfuscated, CLRT",SELECT,OPERATE,0.0
"Obfuscated, CLRT",OPERATE,READ,1.0
"Obfuscated, CLRT",OPERATE,SELECT,0.0
"Obfuscated, CLRT",OPERATE,OPERATE,0.0
"Obfuscated, all features",READ,READ,0.9694
"Obfuscated, all features",READ,SELECT,0.0207
"Obfuscated, all features",READ,OPERATE,0.0099
"Obfuscated, all features",SELECT,READ,0.849
"Obfuscated, all features",SELECT,SELECT,0.1375
"Obfuscated, all features",SELECT,OPERATE,0.0135
"Obfuscated, all features",OPERATE,READ,0.1333
"Obfuscated, all features",OPERATE,SELECT,0.001
"Obfuscated, all features",OPERATE,OPERATE,0.8656
