point,mode,D_A_ms,D_R_ms,D_ms,clrt_med_ms,clrt_sd_ms,ack_med_ms,rt_med_ms,n_read
sw_off,OFF,,,,2.093,4.255,0.558,2.651,200
sw_D2_0_24,D2,0,24,24,2.108,2.574,0.55,2.658,200
sw_D3_20_0,D3,20,0,20,2.098,2.616,0.558,2.656,200
sw_D4_04_4,D4,4,4,8,4.0,1.355,4.576,8.576,200
sw_D4_12_4,D4,12,4,16,4.0,1.529,12.99,16.99,200
sw_D4_20_4,D4,20,4,24,3.999,0.007,21.318,25.317,200
sw_D4_28_4,D4,28,4,32,3.999,0.406,29.48,33.479,200
sw_D4_30_4,D4,30,4,34,4.001,0.57,30.571,34.572,400
sw_D4_32_4,D4,32,4,36,5.503,2.252,31.072,36.575,400
sw_D4_34_4,D4,34,4,38,7.498,0.701,31.071,38.569,400
sw_D4_36_4,D4,36,4,40,9.507,0.864,31.073,40.58,200
sw_D4_36_4b,D4,36,4,40,9.501,0.644,31.071,40.572,400
sw_D4_22_2,D4,22,2,24,1.999,0.009,23.326,25.325,300
sw_D4_16_8,D4,16,8,24,8.001,0.083,17.306,25.307,200
sw_D4_12_12,D4,12,12,24,12.001,0.011,13.308,25.309,200
sw_D4_08_16,D4,8,16,24,16.0,1.584,9.326,25.326,300
sw_D4_04_20,D4,4,20,24,20.001,1.261,5.327,25.328,300
sw_D4_02_22,D4,2,22,24,22.001,0.049,3.325,25.326,300
sw_D4_23_1,D4,23,1,24,0.998,0.011,24.341,25.339,300
