class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,defended,1,1,1786665331.213543,1786665331.234118,1786665331.238120,4.002,20,1
ALL,defended,2,1,1786665331.238545,1786665331.259077,1786665331.263076,3.999,20,0
ALL,defended,3,1,1786665331.263445,1786665331.284023,1786665331.288022,3.999,20,0
ALL,defended,4,1,1786665331.288400,1786665331.308991,1786665331.312994,4.003,20,0
ALL,defended,5,1,1786665331.313361,1786665331.333978,1786665331.337981,4.004,20,0
ALL,defended,6,1,1786665331.338350,1786665331.358969,1786665331.363025,4.056,20,0
ALL,defended,7,1,1786665331.363335,1786665331.383949,1786665331.387956,4.007,20,0
ALL,defended,8,1,1786665331.388335,1786665331.408937,1786665331.412941,4.005,20,0
ALL,defended,9,1,1786665331.413302,1786665331.433951,1786665331.437939,3.988,20,0
ALL,defended,10,1,1786665331.438302,1786665331.458937,1786665331.462932,3.995,20,0
ALL,defended,11,1,1786665331.463298,1786665331.483928,1786665331.487903,3.974,20,0
ALL,defended,12,1,1786665331.488245,1786665331.508916,1786665331.512894,3.978,20,0
ALL,defended,13,1,1786665331.513235,1786665331.533904,1786665331.537900,3.996,20,0
ALL,defended,14,1,1786665331.538234,1786665331.558873,1786665331.562899,4.026,20,0
ALL,defended,15,1,1786665331.563252,1786665331.583907,1786665331.587970,4.062,20,0
ALL,defended,16,1,1786665331.588256,1786665331.608879,1786665331.612908,4.030,20,0
ALL,defended,17,1,1786665331.613242,1786665331.636644,1786665331.640644,4.000,20,0
ALL,defended,18,1,1786665331.640980,1786665331.661692,1786665331.665691,3.999,20,0
ALL,defended,19,1,1786665331.666023,1786665331.686779,1786665331.690778,3.999,20,0
ALL,defended,20,1,1786665331.691110,1786665331.711817,1786665331.715822,4.005,20,0
ALL,defended,21,1,1786665331.716165,1786665331.740826,1786665331.744824,3.999,20,0
ALL,defended,22,1,1786665331.745162,1786665331.765950,1786665331.769951,4.001,20,0
ALL,defended,23,1,1786665331.770321,1786665331.790954,1786665331.794953,3.999,20,0
ALL,defended,24,1,1786665331.795315,1786665331.816000,1786665331.820075,4.075,20,0
ALL,defended,25,1,1786665331.820384,1786665331.845068,1786665331.849073,4.004,20,0
ALL,defended,26,1,1786665331.849436,1786665331.870070,1786665331.874070,4.000,20,0
ALL,defended,27,1,1786665331.874449,1786665331.895085,1786665331.899084,3.999,20,0
ALL,defended,28,1,1786665331.899450,1786665331.920101,1786665331.924101,4.000,20,0
ALL,defended,29,1,1786665331.924467,1786665331.945104,1786665331.949100,3.996,20,0
ALL,defended,30,1,1786665331.949459,1786665331.970120,1786665331.974118,3.998,20,0
ALL,defended,31,1,1786665331.974487,1786665331.995119,1786665331.999117,3.998,20,0
ALL,defended,32,1,1786665331.999474,1786665332.020132,1786665332.024225,4.093,20,0
ALL,defended,33,1,1786665332.024515,1786665332.045162,1786665332.049162,4.000,20,0
ALL,defended,34,1,1786665332.049500,1786665332.070176,1786665332.074177,4.001,20,0
ALL,defended,35,1,1786665332.074515,1786665332.095191,1786665332.099187,3.997,20,0
ALL,defended,36,1,1786665332.099523,1786665332.120194,1786665332.124255,4.061,20,0
ALL,defended,37,1,1786665332.124542,1786665332.145193,1786665332.149198,4.005,20,0
ALL,defended,38,1,1786665332.149533,1786665332.170212,1786665332.174209,3.997,20,0
ALL,defended,39,1,1786665332.174548,1786665332.195209,1786665332.199208,3.999,20,0
ALL,defended,40,1,1786665332.199540,1786665332.220212,1786665332.224204,3.992,20,0
ALL,defended,41,1,1786665332.224543,1786665332.245209,1786665332.249201,3.992,20,0
ALL,defended,42,1,1786665332.249541,1786665332.270207,1786665332.274261,4.055,20,0
ALL,defended,43,1,1786665332.274546,1786665332.295215,1786665332.299216,4.001,20,0
ALL,defended,44,1,1786665332.299558,1786665332.320231,1786665332.324198,3.967,20,0
ALL,defended,45,1,1786665332.324541,1786665332.345224,1786665332.349226,4.002,20,0
ALL,defended,46,1,1786665332.349565,1786665332.370678,1786665332.374676,3.998,20,0
ALL,defended,47,1,1786665332.375012,1786665332.395669,1786665332.399664,3.995,20,0
ALL,defended,48,1,1786665332.400008,1786665332.420653,1786665332.424653,4.000,20,0
ALL,defended,49,1,1786665332.424992,1786665332.445658,1786665332.449661,4.003,20,0
ALL,defended,50,1,1786665332.450004,1786665332.470668,1786665332.474672,4.004,20,0
ALL,defended,51,1,1786665332.475008,1786665332.495646,1786665332.499660,4.014,20,0
ALL,defended,52,1,1786665332.499999,1786665332.520671,1786665332.524672,4.001,20,0
ALL,defended,53,1,1786665332.525007,1786665332.545684,1786665332.549681,3.997,20,0
ALL,defended,54,1,1786665332.550014,1786665332.570690,1786665332.574686,3.995,20,0
ALL,defended,55,1,1786665332.575020,1786665332.595692,1786665332.599691,3.998,20,0
ALL,defended,56,1,1786665332.600023,1786665332.620656,1786665332.624656,4.000,20,0
ALL,defended,57,1,1786665332.625006,1786665332.645624,1786665332.649683,4.059,20,0
ALL,defended,58,1,1786665332.649973,1786665332.670579,1786665332.674583,4.005,20,0
