class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,cold
ALL,native,1,1,1786665216.641551,1786665216.642113,1786665216.665644,23.531,20,1
ALL,native,2,1,1786665216.665998,1786665216.666551,1786665216.667712,1.161,20,0
ALL,native,3,1,1786665216.668056,1786665216.669878,1786665216.671042,1.165,20,0
ALL,native,4,1,1786665216.671395,1786665216.671901,1786665216.674217,2.316,20,0
ALL,native,5,1,1786665216.674553,1786665216.675073,1786665216.676336,1.263,20,0
ALL,native,6,1,1786665216.676611,1786665216.678295,1786665216.679496,1.201,20,0
ALL,native,7,1,1786665216.679827,1786665216.680348,1786665216.682627,2.279,20,0
ALL,native,8,1,1786665216.682959,1786665216.683593,1786665216.684842,1.249,20,0
ALL,native,9,1,1786665216.685174,1786665216.686739,1786665216.687977,1.238,20,0
ALL,native,10,1,1786665216.688255,1786665216.688820,1786665216.691074,2.254,20,0
ALL,native,11,1,1786665216.691427,1786665216.691981,1786665216.693268,1.287,20,0
ALL,native,12,1,1786665216.693553,1786665216.695105,1786665216.696268,1.164,20,0
ALL,native,13,1,1786665216.696600,1786665216.697167,1786665216.699568,2.401,20,0
ALL,native,14,1,1786665216.699902,1786665216.700549,1786665216.701688,1.139,20,0
ALL,native,15,1,1786665216.702035,1786665216.703692,1786665216.704836,1.144,20,0
ALL,native,16,1,1786665216.705165,1786665216.705783,1786665216.707975,2.192,20,0
ALL,native,17,1,1786665216.708340,1786665216.708953,1786665216.710118,1.164,20,0
ALL,native,18,1,1786665216.710484,1786665216.712013,1786665216.713185,1.173,20,0
ALL,native,19,1,1786665216.713513,1786665216.714136,1786665216.716372,2.236,20,0
ALL,native,20,1,1786665216.716656,1786665216.717204,1786665216.718487,1.283,20,0
ALL,native,21,1,1786665216.718827,1786665216.720335,1786665216.721467,1.132,20,0
ALL,native,22,1,1786665216.721801,1786665216.722431,1786665216.724723,2.291,20,0
ALL,native,23,1,1786665216.725059,1786665216.725574,1786665216.726847,1.273,20,0
ALL,native,24,1,1786665216.727181,1786665216.728822,1786665216.730048,1.225,20,0
ALL,native,25,1,1786665216.730405,1786665216.730905,1786665216.733249,2.344,20,0
ALL,native,26,1,1786665216.733586,1786665216.734112,1786665216.736310,2.198,20,0
ALL,native,27,1,1786665216.736663,1786665216.737170,1786665216.742714,5.544,20,0
ALL,native,28,1,1786665216.743000,1786665216.744633,1786665216.745854,1.221,20,0
ALL,native,29,1,1786665216.746194,1786665216.746825,1786665216.753248,6.423,20,0
ALL,native,30,1,1786665216.753583,1786665216.754211,1786665216.755383,1.172,20,0
ALL,native,31,1,1786665216.755715,1786665216.757380,1786665216.763602,6.222,20,0
ALL,native,32,1,1786665216.763939,1786665216.765584,1786665216.766738,1.154,20,0
ALL,native,33,1,1786665216.767071,1786665216.767692,1786665216.774665,6.973,20,0
ALL,native,34,1,1786665216.774946,1786665216.775615,1786665216.776799,1.184,20,0
ALL,native,35,1,1786665216.777128,1786665216.778698,1786665216.779868,1.170,20,0
ALL,native,36,1,1786665216.780194,1786665216.780817,1786665216.782999,2.182,20,0
ALL,native,37,1,1786665216.783349,1786665216.783961,1786665216.789442,5.481,20,0
ALL,native,38,1,1786665216.789773,1786665216.791316,1786665216.792558,1.242,20,0
ALL,native,39,1,1786665216.792888,1786665216.793491,1786665216.795666,2.175,20,0
ALL,native,40,1,1786665216.795995,1786665216.796600,1786665216.797786,1.186,20,0
ALL,native,41,1,1786665216.798125,1786665216.799653,1786665216.800901,1.248,20,0
ALL,native,42,1,1786665216.801239,1786665216.801763,1786665216.809046,7.283,20,0
ALL,native,43,1,1786665216.809419,1786665216.810015,1786665216.812145,2.130,20,0
ALL,native,44,1,1786665216.812485,1786665216.813056,1786665216.814283,1.227,20,0
ALL,native,45,1,1786665216.814617,1786665216.816236,1786665216.817432,1.196,20,0
ALL,native,46,1,1786665216.817713,1786665216.818540,1786665216.820625,2.085,20,0
ALL,native,47,1,1786665216.820948,1786665216.821482,1786665216.822751,1.268,20,0
ALL,native,48,1,1786665216.823030,1786665216.824691,1786665216.825925,1.234,20,0
ALL,native,49,1,1786665216.826279,1786665216.826855,1786665216.834092,7.237,20,0
ALL,native,50,1,1786665216.834445,1786665216.835042,1786665216.837172,2.131,20,0
ALL,native,51,1,1786665216.837505,1786665216.838185,1786665216.839389,1.204,20,0
ALL,native,52,1,1786665216.839672,1786665216.841236,1786665216.842417,1.181,20,0
ALL,native,53,1,1786665216.842750,1786665216.847538,1786665216.853939,6.401,20,0
ALL,native,54,1,1786665216.854292,1786665216.854849,1786665216.856066,1.216,20,0
ALL,native,55,1,1786665216.856421,1786665216.857919,1786665216.864298,6.379,20,0
ALL,native,56,1,1786665216.864564,1786665216.866212,1786665216.867353,1.141,20,0
ALL,native,57,1,1786665216.867698,1786665216.868322,1786665216.870458,2.135,20,0
ALL,native,58,1,1786665216.870789,1786665216.871435,1786665216.872567,1.132,20,0
ALL,native,59,1,1786665216.872896,1786665216.874554,1786665216.875669,1.115,20,0
ALL,native,60,1,1786665216.876000,1786665216.876574,1786665216.883940,7.366,20,0
ALL,native,61,1,1786665216.884297,1786665216.884856,1786665216.887005,2.149,20,0
ALL,native,62,1,1786665216.887360,1786665216.887970,1786665216.895159,7.188,20,0
ALL,native,63,1,1786665216.895493,1786665216.896010,1786665216.897347,1.337,20,0
ALL,native,64,1,1786665216.897578,1786665216.899288,1786665216.900534,1.246,20,0
ALL,native,65,1,1786665216.900871,1786665216.901389,1786665216.908762,7.373,20,0
ALL,native,66,1,1786665216.909037,1786665216.909670,1786665216.911864,2.194,20,0
ALL,native,67,1,1786665216.912199,1786665216.912784,1786665216.920050,7.267,20,0
ALL,native,68,1,1786665216.920405,1786665216.920933,1786665216.922181,1.248,20,0
ALL,native,69,1,1786665216.922519,1786665216.924155,1786665216.925368,1.212,20,0
ALL,native,70,1,1786665216.925702,1786665216.926267,1786665216.933514,7.247,20,0
ALL,native,71,1,1786665216.933847,1786665216.934469,1786665216.936577,2.107,20,0
ALL,native,72,1,1786665216.936911,1786665216.937536,1786665216.944711,7.175,20,0
ALL,native,73,1,1786665216.945040,1786665216.945624,1786665216.946901,1.277,20,0
ALL,native,74,1,1786665216.947233,1786665216.947817,1786665216.959097,11.280,20,0
ALL,native,75,1,1786665216.959445,1786665216.960049,1786665216.962188,2.139,20,0
ALL,native,76,1,1786665216.962516,1786665216.963220,1786665216.964378,1.158,20,0
ALL,native,77,1,1786665216.964703,1786665216.966302,1786665216.967523,1.220,20,0
ALL,native,78,1,1786665216.967808,1786665216.968555,1786665216.970711,2.156,20,0
ALL,native,79,1,1786665216.971039,1786665216.971631,1786665216.972837,1.206,20,0
ALL,native,80,1,1786665216.973166,1786665216.978920,1786665216.980157,1.236,20,0
ALL,native,81,1,1786665216.980493,1786665216.981012,1786665216.988363,7.351,20,0
ALL,native,82,1,1786665216.988646,1786665216.989279,1786665216.991435,2.155,20,0
ALL,native,83,1,1786665216.991769,1786665216.992405,1786665216.999522,7.117,20,0
ALL,native,84,1,1786665216.999800,1786665217.000428,1786665217.001671,1.243,20,0
ALL,native,85,1,1786665217.002006,1786665217.003687,1786665217.004837,1.150,20,0
ALL,native,86,1,1786665217.005172,1786665217.005799,1786665217.007950,2.151,20,0
ALL,native,87,1,1786665217.008307,1786665217.008920,1786665217.014247,5.327,20,0
ALL,native,88,1,1786665217.014580,1786665217.016219,1786665217.017362,1.143,20,0
ALL,native,89,1,1786665217.017698,1786665217.018382,1786665217.020561,2.179,20,0
ALL,native,90,1,1786665217.020841,1786665217.021467,1786665217.022644,1.177,20,0
ALL,native,91,1,1786665217.022980,1786665217.024671,1786665217.025863,1.192,20,0
ALL,native,92,1,1786665217.026147,1786665217.026745,1786665217.034102,7.357,20,0
ALL,native,93,1,1786665217.034465,1786665217.035068,1786665217.037227,2.159,20,0
ALL,native,94,1,1786665217.037564,1786665217.038240,1786665217.039407,1.167,20,0
ALL,native,95,1,1786665217.039733,1786665217.041318,1786665217.042497,1.179,20,0
ALL,native,96,1,1786665217.042826,1786665217.043506,1786665217.045630,2.125,20,0
