Jpolicy,txn,A_ms,R_ms,echo_ack_ms
J=12ms,0,27.572,31.576,4.004
J=12ms,1,20.956,24.943,3.987
J=12ms,2,21.046,25.047,4.001
J=12ms,3,21.004,25.005,4.001
J=12ms,4,21.345,25.349,4.004
J=12ms,5,20.882,24.948,4.066
J=12ms,6,20.993,25.001,4.009
J=12ms,7,21.031,25.003,3.972
J=12ms,8,21.064,25.068,4.004
J=12ms,9,21.055,25.061,4.005
J=12ms,10,21.036,25.035,4.000
J=12ms,11,20.906,24.913,4.008
J=12ms,12,21.091,25.143,4.053
J=12ms,13,20.965,24.981,4.016
J=12ms,14,20.955,25.022,4.067
J=12ms,15,21.045,25.107,4.062
J=12ms,16,21.049,25.022,3.973
J=12ms,17,21.168,25.163,3.995
J=12ms,18,21.017,25.016,3.998
J=12ms,19,21.026,25.008,3.981
J=12ms,20,21.073,25.070,3.997
J=12ms,21,20.993,25.056,4.064
J=12ms,22,20.977,24.984,4.007
J=12ms,23,21.055,25.057,4.002
J=12ms,24,21.018,25.018,4.000
J=12ms,25,21.022,25.090,4.068
J=12ms,26,21.028,25.026,3.999
J=12ms,27,21.024,25.024,4.000
J=12ms,28,21.016,25.015,3.999
J=12ms,29,21.023,25.031,4.008
