panel,quantity,value_ms,kind
on_time,m_0,0.0,instant
on_time,t_0,0.35,instant
on_time,t_a,0.9,instant
on_time,t_r,3.016,instant
on_time,e_a_target,20.9,instant
on_time,e_r_target,24.9,instant
on_time,e_a,20.9,instant
on_time,e_r,24.9,instant
on_time,m_a,21.25,instant
on_time,m_r,25.25,instant
on_time,D_A,20.0,duration
on_time,D_R,4.0,duration
on_time,C_observed,4.0,duration
on_time,L_A,21.25,duration
on_time,L_R,25.25,duration
late,m_0,0.0,instant
late,t_0,0.35,instant
late,t_a,0.9,instant
late,t_r,25.8,instant
late,e_a_target,20.9,instant
late,e_r_target,24.9,instant
late,e_a,20.9,instant
late,e_r,27.0,instant
late,m_a,21.25,instant
late,m_r,27.35,instant
late,D_A,20.0,duration
late,D_R,4.0,duration
late,C_observed,6.1,duration
late,L_A,21.25,duration
late,L_R,27.35,duration
