arm,class,request_to_ack_ms,clrt_ms
timing_off,READ,0.5534,1.1610
timing_off,READ,1.8222,1.1650
timing_off,READ,0.5059,2.3160
timing_off,READ,0.5195,1.2630
timing_off,READ,1.6842,1.2010
timing_off,READ,0.5212,2.2790
timing_off,READ,0.6337,1.2490
timing_off,READ,1.5652,1.2380
timing_off,READ,0.5648,2.2540
timing_off,READ,0.5541,1.2870
timing_off,READ,1.5512,1.1640
timing_off,READ,0.5677,2.4010
timing_off,READ,0.6468,1.1390
timing_off,READ,1.6570,1.1440
timing_off,READ,0.6177,2.1920
timing_off,READ,0.6137,1.1640
timing_off,READ,1.5287,1.1720
timing_off,READ,0.6235,2.2360
timing_off,READ,0.5484,1.2830
timing_off,READ,1.5082,1.1320
timing_off,READ,0.6309,2.2920
timing_off,READ,0.5147,1.2730
timing_off,READ,1.6420,1.2260
timing_off,READ,0.4997,2.3440
timing_off,READ,0.5257,2.1990
timing_off,READ,0.5076,5.5440
timing_off,READ,1.6336,1.2210
timing_off,READ,0.6309,6.4230
timing_off,READ,0.6278,1.1710
timing_off,READ,1.6644,6.2220
timing_off,READ,1.6456,1.1540
timing_off,READ,0.6213,6.9730
timing_off,READ,0.6683,1.1850
timing_off,READ,1.5702,1.1700
timing_off,READ,0.6230,2.1820
timing_off,READ,0.6125,5.4810
timing_off,READ,1.5426,1.2420
timing_off,READ,0.6022,2.1750
timing_off,READ,0.6049,1.1860
timing_off,READ,1.5280,1.2480
timing_off,READ,0.5240,7.2830
timing_off,READ,0.5968,2.1290
timing_off,READ,0.5705,1.2270
timing_off,READ,1.6191,1.1960
timing_off,READ,0.8271,2.0850
timing_off,READ,0.5343,1.2680
timing_off,READ,1.6615,1.2340
timing_off,READ,0.5765,7.2370
timing_off,READ,0.5960,2.1300
timing_off,READ,0.6790,1.2040
timing_off,READ,1.5635,1.1810
timing_off,READ,4.7877,6.4010
timing_off,READ,0.5569,1.2160
timing_off,READ,1.4982,6.3790
timing_off,READ,1.6479,1.1410
timing_off,READ,0.6247,2.1350
timing_off,READ,0.6461,1.1320
timing_off,READ,1.6584,1.1150
timing_off,READ,0.5736,7.3660
timing_off,READ,0.5591,2.1490
timing_off,READ,0.6101,7.1880
timing_off,READ,0.5174,1.3370
timing_off,READ,1.7097,1.2460
timing_off,READ,0.5188,7.3730
timing_off,READ,0.6325,2.1940
timing_off,READ,0.5844,7.2670
timing_off,READ,0.5288,1.2480
timing_off,READ,1.6367,1.2120
timing_off,READ,0.5648,7.2470
timing_off,READ,0.6223,2.1070
timing_off,READ,0.6251,7.1750
timing_off,READ,0.5848,1.2770
timing_off,READ,0.5829,11.2800
timing_off,READ,0.6044,2.1390
timing_off,READ,0.7045,1.1570
timing_off,READ,1.5986,1.2200
timing_off,READ,0.7474,2.1560
timing_off,READ,0.5910,1.2060
timing_off,READ,5.7535,1.2370
timing_off,READ,0.5188,7.3510
timing_off,READ,0.6340,2.1550
timing_off,READ,0.6359,7.1170
timing_off,READ,0.6275,1.2430
timing_off,READ,1.6809,1.1500
timing_off,READ,0.6270,2.1510
timing_off,READ,0.6130,5.3270
timing_off,READ,1.6382,1.1430
timing_off,READ,0.6843,2.1790
timing_off,READ,0.6268,1.1770
timing_off,READ,1.6921,1.1920
timing_off,READ,0.5980,7.3570
timing_off,READ,0.6025,2.1590
timing_off,READ,0.6764,1.1670
timing_off,READ,1.5850,1.1780
timing_off,READ,0.6793,2.1250
timing_off,READ,0.6013,1.1580
timing_off,READ,1.6127,1.1820
timing_off,READ,0.5744,7.4960
timing_off,READ,0.5143,2.2170
timing_off,READ,0.6831,1.1590
timing_off,READ,1.5192,1.2270
timing_off,READ,0.5436,2.2370
timing_off,READ,0.5322,1.2270
timing_off,READ,1.5686,1.2120
timing_off,READ,0.5305,7.5090
timing_off,READ,0.6835,2.2500
timing_off,READ,0.7820,2.1930
timing_off,READ,0.5720,1.2010
timing_off,READ,1.6110,1.1730
timing_off,READ,0.6101,6.4300
timing_off,READ,0.6163,1.1670
timing_off,READ,1.6525,6.2100
timing_off,READ,1.6513,1.1400
timing_off,READ,0.6397,7.0630
timing_off,READ,0.6001,1.2010
timing_off,READ,1.4832,1.2380
timing_off,READ,0.5670,7.2320
timing_off,READ,0.6275,2.1690
timing_off,READ,0.5708,7.1590
timing_off,READ,0.6340,1.2420
timing_off,READ,1.5860,1.1920
timing_off,READ,0.5851,2.2000
timing_off,READ,4.6954,7.2660
timing_off,READ,0.5345,1.2690
timing_off,READ,1.6677,1.1430
timing_off,READ,0.6285,12.0830
timing_off,READ,0.5546,2.2480
timing_off,READ,0.5443,11.3420
timing_off,READ,0.5808,1.2020
timing_off,READ,1.6112,12.2740
timing_off,READ,0.5710,1.1550
timing_off,READ,1.6854,1.1510
timing_off,READ,0.6163,7.1280
timing_off,READ,0.5817,2.2220
timing_off,READ,0.6020,4.7790
timing_off,READ,0.6294,2.1990
timing_off,READ,0.5796,1.2500
timing_off,READ,1.6747,1.1810
timing_off,READ,0.5784,2.3190
timing_off,READ,0.6275,1.1580
timing_off,READ,1.5819,1.1370
timing_off,READ,0.5598,2.2240
timing_off,READ,4.8368,1.3270
timing_off,READ,1.5059,1.2530
timing_off,READ,0.5789,2.2290
timing_off,READ,0.4911,1.2710
timing_off,READ,1.4808,1.2730
timing_off,READ,0.5240,2.3270
timing_off,READ,0.5693,2.1810
timing_off,READ,0.5708,1.2610
timing_off,READ,0.5779,2.2000
timing_off,READ,0.6037,2.1410
timing_off,READ,0.5875,1.2520
timing_off,READ,0.5596,2.3750
timing_off,READ,0.6161,2.1810
timing_off,READ,0.6256,1.2250
timing_off,READ,1.6301,1.1660
timing_off,READ,0.6154,2.1260
timing_off,READ,0.6404,1.1410
timing_off,READ,1.6470,1.2340
timing_off,READ,0.5453,2.1710
timing_off,READ,0.6237,1.1510
timing_off,READ,1.7016,1.1550
timing_off,READ,0.5386,2.3220
timing_off,READ,0.4978,1.2850
timing_off,READ,1.5342,1.3730
timing_off,READ,0.4880,2.1810
timing_off,READ,0.5028,1.4650
timing_off,READ,1.7061,1.1220
timing_off,READ,0.7179,2.2030
timing_off,READ,0.5975,1.1680
timing_off,READ,1.6482,1.1300
timing_off,READ,0.6378,2.1320
timing_off,READ,0.6208,1.1590
timing_off,READ,1.6298,1.3000
timing_off,READ,0.5832,2.1690
timing_off,READ,0.7010,1.1640
timing_off,READ,1.5161,1.3130
timing_off,READ,4.6747,2.4990
timing_off,READ,0.6270,2.1840
timing_off,READ,0.6390,1.1530
timing_off,READ,1.6427,1.2200
timing_off,READ,0.6268,2.0760
timing_off,READ,0.6320,1.3110
timing_off,READ,1.5860,1.1830
timing_off,READ,0.5116,2.2710
timing_off,READ,0.6306,1.1720
timing_off,READ,1.6522,1.1880
timing_off,READ,0.5670,2.2530
timing_off,READ,0.6056,1.2440
timing_off,READ,1.6103,1.2290
timing_off,READ,0.5505,2.1280
timing_off,READ,0.5448,1.2850
timing_off,READ,1.6105,1.1860
timing_off,READ,0.8173,2.1210
timing_off,READ,0.6683,1.1780
timing_off,READ,1.7047,1.1060
timing_off,READ,0.6230,2.2070
timing_off,READ,0.5517,1.2230
timing_off,READ,1.6084,1.1630
timing_off,READ,0.6032,2.1520
timing_off,READ,0.6902,1.1400
timing_off,READ,1.5292,1.1960
timing_off,READ,0.7210,2.2070
timing_off,READ,0.5202,1.2340
timing_off,READ,1.6978,1.2140
timing_off,READ,0.5116,2.4060
timing_off,READ,0.6280,2.1390
timing_off,READ,0.6437,1.1880
timing_off,READ,1.5595,1.2370
timing_off,READ,0.6902,2.1520
timing_off,READ,0.6316,1.1690
timing_off,READ,1.6072,1.2310
timing_off,READ,0.6115,6.5120
timing_off,READ,0.5548,1.2320
timing_off,READ,1.6279,1.4320
timing_off,READ,0.6235,2.1440
timing_off,READ,0.6390,1.1970
timing_off,READ,1.6587,1.0860
timing_off,READ,0.6316,2.1340
timing_off,READ,0.6268,1.1600
timing_off,READ,1.6639,1.1870
timing_off,READ,0.6340,2.1700
timing_off,READ,0.5298,1.2120
timing_off,READ,1.6234,1.3150
timing_off,READ,0.5224,2.2290
timing_off,READ,0.5617,1.2160
timing_off,READ,1.5745,1.1850
timing_off,READ,0.6282,2.1500
timing_off,READ,0.6683,1.1820
timing_off,READ,1.6210,1.1760
timing_off,READ,0.5498,2.2000
timing_off,READ,0.5722,1.1950
timing_off,READ,1.6158,1.1730
timing_off,READ,0.5641,2.1900
timing_off,READ,0.7851,1.2120
timing_off,READ,1.5390,1.2400
timing_off,READ,0.6406,2.2190
timing_off,READ,0.5128,2.3110
timing_off,READ,0.6289,1.2070
timing_off,READ,1.5719,1.1860
timing_off,READ,0.6156,2.1820
timing_off,READ,0.6287,1.1450
timing_off,READ,1.5733,1.1710
timing_off,READ,0.7143,2.1320
timing_off,READ,0.5579,1.2170
timing_off,READ,1.7099,1.2320
timing_off,READ,0.5102,2.3500
timing_off,READ,0.5915,1.1980
timing_off,READ,5.6779,1.3360
timing_off,READ,0.5267,2.2020
timing_off,READ,0.5503,1.3280
timing_off,READ,1.6217,1.1680
timing_off,READ,0.5875,2.1410
timing_off,READ,0.5736,1.2570
timing_off,READ,1.8458,1.1240
timing_off,READ,0.6406,2.3320
timing_off,READ,0.5829,1.2710
timing_off,READ,1.5304,1.2680
timing_off,READ,0.5250,2.2160
timing_off,READ,0.6332,1.1980
timing_off,READ,1.5166,1.2490
timing_off,READ,0.5469,2.2430
timing_off,READ,0.5221,1.2760
timing_off,READ,1.5240,1.2400
timing_off,READ,0.5233,2.7370
timing_off,READ,0.5257,2.2890
timing_off,READ,0.6280,1.2000
timing_off,READ,1.5514,6.3240
timing_off,READ,1.6425,1.1880
timing_off,READ,0.5703,4.0710
timing_off,READ,1.6916,1.2350
timing_off,READ,0.6254,2.1550
timing_off,READ,0.7792,1.1450
timing_off,READ,1.5757,1.1730
timing_off,READ,0.6320,2.3200
timing_off,READ,0.5789,1.2960
timing_off,READ,1.6124,1.1310
timing_off,READ,0.5724,2.2420
timing_off,READ,0.6375,1.1460
timing_off,READ,1.5821,1.1300
timing_off,READ,0.6094,6.1220
timing_off,READ,0.5782,1.4030
timing_off,READ,1.6739,1.1800
timing_off,READ,0.6588,2.1380
timing_off,READ,0.6459,1.1510
timing_off,READ,1.6832,1.1450
timing_off,READ,0.5598,2.2530
timing_off,READ,0.5805,1.2020
timing_off,READ,1.6065,1.2410
timing_off,READ,0.5701,2.1880
timing_off,READ,0.6113,1.1870
timing_off,READ,1.5631,1.2330
timing_off,READ,0.7510,2.2070
timing_off,READ,0.5324,2.5110
timing_off,READ,0.6325,1.1520
timing_off,READ,1.6406,1.1370
timing_off,READ,0.6194,2.1650
timing_off,READ,0.5760,1.2070
timing_off,READ,1.6146,1.1360
timing_off,READ,0.5307,2.2570
timing_off,READ,0.5426,1.3240
timing_off,READ,1.5800,1.1780
timing_off,READ,0.6297,2.3080
timing_off,READ,0.5226,1.2720
timing_off,READ,1.5852,1.1910
timing_off,READ,0.5078,2.2460
timing_off,READ,0.4966,1.3630
timing_off,READ,1.5347,1.2730
timing_off,READ,0.6270,2.1600
timing_off,READ,0.6280,1.2470
timing_off,READ,1.5981,1.1080
timing_off,READ,0.6151,2.2290
timing_off,READ,0.6223,1.1610
timing_off,READ,1.7741,1.1390
timing_off,READ,0.5870,2.3500
timing_off,READ,0.5586,1.2260
timing_off,READ,1.4994,5.4370
timing_off,READ,0.5698,2.2740
timing_off,READ,0.5028,2.3790
timing_off,READ,0.5982,1.1930
timing_off,READ,1.5969,1.2070
timing_off,READ,0.6166,2.1880
timing_off,READ,0.7854,1.1450
timing_off,READ,1.6313,1.1480
timing_off,READ,0.5970,2.1660
timing_off,READ,0.5424,1.2380
timing_off,READ,1.6356,1.2340
timing_off,READ,0.6139,2.2500
timing_off,READ,0.5822,1.2730
timing_off,READ,1.6131,1.1960
timing_off,READ,0.5684,2.2180
timing_off,READ,0.6499,1.3440
timing_off,READ,1.6022,1.2830
timing_off,READ,0.6199,2.1740
timing_off,READ,0.6299,1.2340
timing_off,READ,1.4763,1.2380
timing_off,READ,0.5746,2.2670
timing_off,READ,0.5088,1.2530
timing_off,READ,1.5051,1.1990
timing_off,READ,0.5593,2.2840
timing_off,READ,0.5205,1.2660
timing_off,READ,1.4577,1.3140
timing_off,READ,0.5207,2.2870
timing_off,READ,0.5252,2.4600
timing_off,READ,0.5689,1.2430
timing_off,READ,1.5991,1.2300
timing_off,READ,0.6299,2.1350
timing_off,READ,0.6282,1.1550
timing_off,READ,1.6451,1.2250
timing_off,READ,0.6192,2.1240
