condition,class,request_to_ack_ms,clrt_ms
native,READ,0.5534,1.1610
native,READ,1.8222,1.1650
native,READ,0.5059,2.3160
native,READ,0.5195,1.2630
native,READ,1.6842,1.2010
native,READ,0.5212,2.2790
native,READ,0.6337,1.2490
native,READ,1.5652,1.2380
native,READ,0.5648,2.2540
native,READ,0.5541,1.2870
native,READ,1.5512,1.1640
native,READ,0.5677,2.4010
native,READ,0.6468,1.1390
native,READ,1.6570,1.1440
native,READ,0.6177,2.1920
native,READ,0.6137,1.1640
native,READ,1.5287,1.1720
native,READ,0.6235,2.2360
native,READ,0.5484,1.2830
native,READ,1.5082,1.1320
native,READ,0.6309,2.2920
native,READ,0.5147,1.2730
native,READ,1.6420,1.2260
native,READ,0.4997,2.3440
native,READ,0.5257,2.1990
native,READ,0.5076,5.5440
native,READ,1.6336,1.2210
native,READ,0.6309,6.4230
native,READ,0.6278,1.1710
native,READ,1.6644,6.2220
native,READ,1.6456,1.1540
native,READ,0.6213,6.9730
native,READ,0.6683,1.1850
native,READ,1.5702,1.1700
native,READ,0.6230,2.1820
native,READ,0.6125,5.4810
native,READ,1.5426,1.2420
native,READ,0.6022,2.1750
native,READ,0.6049,1.1860
native,READ,1.5280,1.2480
native,READ,0.5240,7.2830
native,READ,0.5968,2.1290
native,READ,0.5705,1.2270
native,READ,1.6191,1.1960
native,READ,0.8271,2.0850
native,READ,0.5343,1.2680
native,READ,1.6615,1.2340
native,READ,0.5765,7.2370
native,READ,0.5960,2.1300
native,READ,0.6790,1.2040
native,READ,1.5635,1.1810
native,READ,4.7877,6.4010
native,READ,0.5569,1.2160
native,READ,1.4982,6.3790
native,READ,1.6479,1.1410
native,READ,0.6247,2.1350
native,READ,0.6461,1.1320
native,READ,1.6584,1.1150
native,READ,0.5736,7.3660
native,READ,0.5591,2.1490
native,READ,0.6101,7.1880
native,READ,0.5174,1.3370
native,READ,1.7097,1.2460
native,READ,0.5188,7.3730
native,READ,0.6325,2.1940
native,READ,0.5844,7.2670
native,READ,0.5288,1.2480
native,READ,1.6367,1.2120
native,READ,0.5648,7.2470
native,READ,0.6223,2.1070
native,READ,0.6251,7.1750
native,READ,0.5848,1.2770
native,READ,0.5829,11.2800
native,READ,0.6044,2.1390
native,READ,0.7045,1.1570
native,READ,1.5986,1.2200
native,READ,0.7474,2.1560
native,READ,0.5910,1.2060
native,READ,5.7535,1.2370
native,READ,0.5188,7.3510
native,READ,0.6340,2.1550
native,READ,0.6359,7.1170
native,READ,0.6275,1.2430
native,READ,1.6809,1.1500
native,READ,0.6270,2.1510
native,READ,0.6130,5.3270
native,READ,1.6382,1.1430
native,READ,0.6843,2.1790
native,READ,0.6268,1.1770
native,READ,1.6921,1.1920
native,READ,0.5980,7.3570
native,READ,0.6025,2.1590
native,READ,0.6764,1.1670
native,READ,1.5850,1.1780
native,READ,0.6793,2.1250
native,READ,0.6013,1.1580
native,READ,1.6127,1.1820
native,READ,0.5744,7.4960
native,READ,0.5143,2.2170
native,READ,0.6831,1.1590
native,READ,1.5192,1.2270
native,READ,0.5436,2.2370
native,READ,0.5322,1.2270
native,READ,1.5686,1.2120
native,READ,0.5305,7.5090
native,READ,0.6835,2.2500
native,READ,0.7820,2.1930
native,READ,0.5720,1.2010
native,READ,1.6110,1.1730
native,READ,0.6101,6.4300
native,READ,0.6163,1.1670
native,READ,1.6525,6.2100
native,READ,1.6513,1.1400
native,READ,0.6397,7.0630
native,READ,0.6001,1.2010
native,READ,1.4832,1.2380
native,READ,0.5670,7.2320
native,READ,0.6275,2.1690
native,READ,0.5708,7.1590
