panel,corpus,operation,quantity,value,units,note
a,final_read_sbo,READ,n_native,999,count,
a,final_read_sbo,READ,n_defended,599,count,
a,final_read_sbo,READ,var_native,1.835745145,ms^2,
a,final_read_sbo,READ,var_defended,0.000491897,ms^2,
a,final_read_sbo,READ,sd_native,1.354897,ms,
a,final_read_sbo,READ,sd_defended,0.022179,ms,
a,final_read_sbo,READ,rho,0.000267955,ratio,
a,final_read_sbo,READ,rho_ci_lo,,ratio,"none: 1 session(s), a session-level interval cannot be formed"
a,final_read_sbo,READ,rho_ci_hi,,ratio,"none: 1 session(s), a session-level interval cannot be formed"
a,final_read_sbo,READ,n_sessions,1,count,
a,final_read_sbo,READ,per_session_rho_min,0.000267955,ratio,
a,final_read_sbo,READ,per_session_rho_max,0.000267955,ratio,
a,final_read_sbo,SELECT,n_native,488,count,
a,final_read_sbo,SELECT,n_defended,499,count,
a,final_read_sbo,SELECT,var_native,6.412117041,ms^2,
a,final_read_sbo,SELECT,var_defended,0.00045195,ms^2,
a,final_read_sbo,SELECT,sd_native,2.532216,ms,
a,final_read_sbo,SELECT,sd_defended,0.021259,ms,
a,final_read_sbo,SELECT,rho,7.0484e-05,ratio,
a,final_read_sbo,SELECT,rho_ci_lo,,ratio,"none: 1 session(s), a session-level interval cannot be formed"
a,final_read_sbo,SELECT,rho_ci_hi,,ratio,"none: 1 session(s), a session-level interval cannot be formed"
a,final_read_sbo,SELECT,n_sessions,1,count,
a,final_read_sbo,SELECT,per_session_rho_min,7.0484e-05,ratio,
a,final_read_sbo,SELECT,per_session_rho_max,7.0484e-05,ratio,
b,final_read_sbo,READ,n,599,count,
b,final_read_sbo,READ,target_C,4.0,ms,
b,final_read_sbo,READ,mean_error,0.007661102,ms,
b,final_read_sbo,READ,median_error,0.001,ms,
b,final_read_sbo,READ,error_sd,0.022178743,ms,
b,final_read_sbo,READ,rmse,0.023447131,ms,
b,final_read_sbo,READ,error_p001,-0.032402,ms,
b,final_read_sbo,READ,error_p01,-0.026,ms,
b,final_read_sbo,READ,error_p50,0.001,ms,
b,final_read_sbo,READ,error_p99,0.07708,ms,
b,final_read_sbo,READ,error_p999,0.09501,ms,
b,final_read_sbo,READ,min_error,-0.033,ms,
b,final_read_sbo,READ,max_error,0.098,ms,
b,final_read_sbo,READ,max_abs_error,0.098,ms,
b,final_read_sbo,READ,quantization_grid,0.000256,ms,
b,final_read_sbo,READ,within_0.050_ms_count,534,count,tolerance fixed independently of the measured errors
