section,K,n_conn,effect_type,effect,power
5.1,4,40,spearman_rho_star,0.2,0.3403
5.1,4,40,classifier_delta_BA,0.05,0.1802
5.1,8,80,spearman_rho_star,0.2,0.5533
5.1,8,80,classifier_delta_BA,0.05,0.3849
5.1,16,160,spearman_rho_star,0.2,0.8147
5.1,16,160,classifier_delta_BA,0.05,0.8335
5.2,4,40,spearman_rho,0.2,0.2344
5.2,4,40,spearman_rho,0.3,0.4693
5.2,4,40,spearman_rho,0.4,0.7314
5.2,4,40,spearman_rho,0.5,0.9164
5.2,4,40,classifier_BA_lift,0.1,0.4269
5.2,4,40,classifier_BA_lift,0.2,0.8991
5.2,8,80,spearman_rho,0.2,0.4283
5.2,8,80,spearman_rho,0.3,0.7752
5.2,8,80,spearman_rho,0.4,0.9606
5.2,8,80,spearman_rho,0.5,0.9979
5.2,8,80,classifier_BA_lift,0.1,0.8553
5.2,8,80,classifier_BA_lift,0.2,0.9999
5.2,16,160,spearman_rho,0.2,0.7191
5.2,16,160,spearman_rho,0.3,0.9725
5.2,16,160,spearman_rho,0.4,0.9996
5.2,16,160,spearman_rho,0.5,1.0000
5.2,16,160,classifier_BA_lift,0.1,0.9998
5.2,16,160,classifier_BA_lift,0.2,1.0000
