row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
aggregate,baseline,default,default,0,20,0.02,0.028,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,1,20,1.104,1.157,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,2,20,2.102,2.117,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,5,20,5.311,6.065,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,10,20,10.321,10.821,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,20,20,20.462,20.811,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,50,20,50.467,50.797,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,0,20,0.038,0.049,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,1,20,1.099,1.12,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,2,20,2.216,3.009,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,5,20,5.334,5.965,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,10,20,10.384,10.798,20,True,0,0,0,20,,,,,undetermined-needs-privileged-capture,,,,,,,,,
