row_type,config,server_nodelay,client_quickack,requested_delay_ms,reps,req_to_resp_ms_mean,req_to_resp_ms_max,responses_ok,response_bytes_ok_all,resets,pure_ack_yes,pure_ack_no,pure_ack_unknown,pure_ack_frac,request_to_ack_ms_mean,ack_to_response_ms_mean,retransmissions_sum,capture_status,rep,request_to_response_ms,response_received,response_bytes_ok,reset,pure_ack_emitted,request_to_ack_ms,ack_to_response_ms,retransmissions
aggregate,baseline,default,default,25,30,25.662,25.744,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,30,30,30.659,30.748,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,35,30,35.666,35.728,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,38,30,38.676,38.742,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,40,30,40.656,40.742,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,42,30,42.668,42.74,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,45,30,45.676,45.745,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,baseline,default,default,50,30,50.682,50.747,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,25,30,25.656,25.727,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,30,30,30.68,30.738,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,35,30,35.667,35.757,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,38,30,38.67,38.737,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,40,30,40.65,40.727,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,42,30,42.662,42.728,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,45,30,45.676,45.733,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_on,on,default,50,30,50.672,50.758,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,25,30,25.665,25.713,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,30,30,30.663,30.735,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,35,30,35.652,35.711,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,38,30,38.661,38.716,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,40,30,40.647,40.723,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,42,30,42.674,42.734,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,45,30,45.677,45.754,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,server_nodelay_off,off,default,50,30,50.68,50.751,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,25,30,25.662,25.728,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,30,30,30.681,30.73,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,35,30,35.656,35.735,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,38,30,38.618,38.694,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,40,30,40.612,40.694,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,42,30,42.628,42.705,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,45,30,45.619,45.698,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
aggregate,client_quickack_on,default,on,50,30,50.629,50.698,30,True,0,0,0,30,,,,,undetermined-needs-privileged-capture,,,,,,,,,
raw,baseline,default,default,25,,,,,,,,,,,,,,undetermined-needs-privileged-capture,0,25.63,True,True,False,unknown,,,
