pcap,device_label,outstation_ip,classification,flow_id,stream,master,outstation,req_frame,req_size,req_func,first_rev_frame,first_rev_is_pure_ack,resp_frame,resp_size,resp_func,resp_flags,resp_seq,resp_ack,req_to_ack_ms,req_to_resp_ms,ack_to_resp_ms,retransmission,duplicate_ack,reset,out_of_order,note
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,4,22,1,5,False,5,54,129,0x0018,1,23,17.272,17.272,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,7,22,1,8,False,8,54,129,0x0018,55,45,16.48,16.48,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,10,22,1,11,False,11,54,129,0x0018,109,67,16.13,16.13,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,13,22,1,14,False,14,54,129,0x0018,163,89,15.991,15.991,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,16,22,1,17,False,17,54,129,0x0018,217,111,17.7979,17.7979,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,19,22,1,20,False,20,54,129,0x0018,271,133,18.1539,18.1539,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,22,22,1,23,False,23,54,129,0x0018,325,155,18.26,18.26,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,25,22,1,26,False,26,54,129,0x0018,379,177,17.6299,17.6299,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,28,22,1,29,False,29,54,129,0x0018,433,199,17.71,17.71,0.0,False,False,False,False,
AB1400.pcap,AB1400,10.0.0.12,COMBINED_ACK_RESPONSE,10.0.0.3:53459<->10.0.0.12:20000#s0,0,10.0.0.3:53459,10.0.0.12:20000,31,22,1,32,False,32,54,129,0x0018,487,221,95.288,95.288,0.0,False,False,False,False,
