device,metric,unit,n_a,n_b,median_a,median_b,ks,wasserstein1,cliffs_delta,cohens_d
SEL751,req_to_first_rev_ms,ms,299,3999,3.695011,3.673077,0.122538,0.077379,0.086757,0.065074
SEL751,req_to_pure_ack_ms,ms,299,3999,3.695011,3.673077,0.122538,0.077379,0.086757,0.065074
SEL751,pure_ack_to_resp_ms,ms,299,3999,12.897968,12.177944,0.217883,1.241002,0.205399,0.17802
SEL751,req_to_resp_ms,ms,299,3999,16.98494,16.103983,0.236445,1.280254,0.217671,0.186558
SEL751,req_tcp_len,bytes,299,3999,35.0,35.0,0.168771,2.194027,0.168771,0.338811
SEL751,resp_tcp_len,bytes,299,3999,37.0,37.0,0.168771,2.869112,-0.168771,-0.338811
SEL751,packet_count,count,299,3999,3.0,3.0,0.0,0.0,0.0,0.0
SEL751,transaction_ip_bytes,bytes,299,3999,270.0,270.0,0.168771,0.675085,-0.168771,-0.338811
AB1400,req_to_first_rev_ms,ms,399,1999,16.619921,16.247034,0.231974,0.616777,0.338974,0.322069
AB1400,req_to_pure_ack_ms,ms,0,0,,,,,,
AB1400,pure_ack_to_resp_ms,ms,0,0,,,,,,
AB1400,req_to_resp_ms,ms,399,1999,16.619921,16.247034,0.231974,0.616777,0.338974,0.322069
AB1400,req_tcp_len,bytes,399,1999,35.0,35.0,0.001003,0.013039,0.001003,0.002005
AB1400,resp_tcp_len,bytes,399,1999,37.0,37.0,0.001003,0.017051,-0.001003,-0.002005
AB1400,packet_count,count,399,1999,2.0,2.0,0.0,0.0,0.0,0.0
AB1400,transaction_ip_bytes,bytes,399,1999,180.0,180.0,0.001003,0.004012,-0.001003,-0.002005
ION7550,req_to_first_rev_ms,ms,799,3999,16.055107,15.98382,0.14097,0.46791,0.155345,0.221568
ION7550,req_to_pure_ack_ms,ms,0,1,,43.303967,,,,
ION7550,pure_ack_to_resp_ms,ms,0,1,,28.753996,,,,
ION7550,req_to_resp_ms,ms,799,3999,16.055107,15.98382,0.14097,0.4751,0.155345,0.198355
ION7550,req_tcp_len,bytes,799,3999,35.0,35.0,0.000501,0.00651,0.000501,0.001001
ION7550,resp_tcp_len,bytes,799,3999,37.0,37.0,0.000501,0.012018,-0.000501,-0.001001
ION7550,packet_count,count,799,3999,2.0,2.0,0.00025,0.00025,-0.00025,-0.01732
ION7550,transaction_ip_bytes,bytes,799,3999,180.0,191.0,0.000751,0.020512,-0.000876,-0.003691
