group,device,capture_kind,outstation_ip,total,combined_pct,separate_pct,other_pct,metric,unit,n,mean,mean_ci_lo,mean_ci_hi,median,median_ci_lo,median_ci_hi,std,cv,p5,p95,p99,max
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,req_to_first_rev_ms,ms,1999,16.272381,16.229745,16.322868,16.247034,16.207933,16.287088,1.097127,0.067423,15.142846,17.344594,17.750383,52.48785
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,req_to_pure_ack_ms,ms,0,,,,,,,,,,,,
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,pure_ack_to_resp_ms,ms,0,,,,,,,,,,,,
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,req_to_resp_ms,ms,1999,16.272381,16.229745,16.322868,16.247034,16.207933,16.287088,1.097127,0.067423,15.142846,17.344594,17.750383,52.48785
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,req_tcp_len,bytes,1999,28.503252,28.223612,28.789395,35.0,22.0,35.0,6.499999,0.228044,22.0,35.0,35.0,35.0
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,resp_tcp_len,bytes,1999,45.495748,45.121561,45.861431,37.0,37.0,54.0,8.499999,0.186831,37.0,54.0,54.0,54.0
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,packet_count,count,1999,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
AB1400|L,AB1400,L,10.0.0.12,1999,100.0,0.0,0.0,transaction_ip_bytes,bytes,1999,181.998999,181.910955,182.085043,180.0,180.0,184.0,2.0,0.010989,180.0,184.0,184.0,184.0
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,req_to_first_rev_ms,ms,399,16.889158,16.638131,17.323832,16.619921,16.561985,16.703844,3.999039,0.236781,15.648269,17.700958,18.170748,95.288038
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,req_to_pure_ack_ms,ms,0,,,,,,,,,,,,
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,pure_ack_to_resp_ms,ms,0,,,,,,,,,,,,
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,req_to_resp_ms,ms,399,16.889158,16.638131,17.323832,16.619921,16.561985,16.703844,3.999039,0.236781,15.648269,17.700958,18.170748,95.288038
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,req_tcp_len,bytes,399,28.516291,27.897243,29.135338,35.0,22.0,35.0,6.49998,0.227939,22.0,35.0,35.0,35.0
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,resp_tcp_len,bytes,399,45.478697,44.669173,46.288221,37.0,37.0,54.0,8.499973,0.1869,37.0,54.0,54.0,54.0
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,packet_count,count,399,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
AB1400|base,AB1400,base,10.0.0.12,399,100.0,0.0,0.0,transaction_ip_bytes,bytes,399,181.994987,181.804511,182.185464,180.0,180.0,184.0,1.999994,0.010989,180.0,184.0,184.0,184.0
