capture,device_label,is_reference,tcp_stream,req_frame,classification,classification_confidence,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,ambiguity_reason
AB1400.pcap,AB1400,False,0,1198,COMBINED_ACK_RESPONSE,medium,0,0,False,True,False,
AB1400L.pcap,AB1400,False,0,5998,COMBINED_ACK_RESPONSE,medium,0,0,False,True,False,
ION7550.pcap,ION7550,False,0,100,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,111,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,182,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,334,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,384,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,464,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,478,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,495,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,557,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,577,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,627,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,668,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,694,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,741,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,788,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,838,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,900,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,917,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,925,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,939,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1244,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1252,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1263,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1325,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1384,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1515,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1526,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1561,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1581,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1616,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1672,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1731,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1751,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1801,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1839,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,1964,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2086,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2142,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2153,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2200,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2208,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2216,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2224,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2235,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2291,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2320,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2466,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2477,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2485,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550.pcap,ION7550,False,0,2496,COMBINED_ACK_RESPONSE,medium,0,0,False,True,False,
ION7550L.pcap,ION7550,False,0,475,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,1701,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,2645,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,3418,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,4098,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,4187,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,4615,COMBINED_ACK_RESPONSE,medium,2,2,False,False,False,
ION7550L.pcap,ION7550,False,0,4724,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,5014,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,6021,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,7505,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,7618,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,7626,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8142,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8159,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8176,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8193,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8210,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8227,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8244,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8261,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8278,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8295,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8312,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8329,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8346,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8363,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8380,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8397,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8414,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8431,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8448,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8465,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8482,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,8529,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,9113,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,9250,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,10014,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,10733,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,11101,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,11607,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,11645,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,11824,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,11865,COMBINED_ACK_RESPONSE,medium,1,1,False,False,False,
ION7550L.pcap,ION7550,False,0,12089,COMBINED_ACK_RESPONSE,medium,0,0,False,True,False,
