delay_ms,source,nonfirst_n,nonfirst_separate,nonfirst_sep_frac,wilson95_lo,wilson95_hi
0,coarse,80,0,0.0,0.0,0.0458
1,coarse,80,0,0.0,0.0,0.0458
2,coarse,80,0,0.0,0.0,0.0458
5,coarse,80,0,0.0,0.0,0.0458
10,coarse,80,0,0.0,0.0,0.0458
15,coarse,80,0,0.0,0.0,0.0458
20,coarse,80,0,0.0,0.0,0.0458
25,coarse,80,0,0.0,0.0,0.0458
30,coarse,80,0,0.0,0.0,0.0458
35,coarse,80,0,0.0,0.0,0.0458
35,refined,80,0,0.0,0.0,0.0458
36,refined,80,1,0.0125,0.0022,0.0675
37,refined,80,6,0.075,0.0348,0.1541
38,refined,80,15,0.1875,0.1171,0.2866
39,refined,80,38,0.475,0.3692,0.583
40,coarse,80,80,1.0,0.9542,1.0
40,refined,80,80,1.0,0.9542,1.0
50,coarse,80,80,1.0,0.9542,1.0
75,coarse,80,80,1.0,0.9542,1.0
100,coarse,80,80,1.0,0.9542,1.0
