config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,54540,127.0.0.1,20000,1,127.0.0.1:54540<->127.0.0.1:20000#s1,6,1784209934.5902207,1,1,0x0018,24,90,20,7,1784209934.5902324,0,0x0010,True,7,1784209934.5902324,1,25,8,1784209934.6133025,17,83,0x0018,129,0.011683,0.011683,23.070097,23.081779,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,54540,127.0.0.1,20000,1,127.0.0.1:54540<->127.0.0.1:20000#s1,10,1784209934.6133823,25,18,0x0018,21,87,2,11,1784209934.634936,17,0x0018,False,,,,,11,1784209934.634936,17,83,0x0018,129,21.553755,,,21.553755,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,54540,127.0.0.1,20000,1,127.0.0.1:54540<->127.0.0.1:20000#s1,12,1784209934.6350026,46,35,0x0018,24,90,20,13,1784209934.658013,17,0x0018,False,,,,,13,1784209934.658013,17,83,0x0018,129,23.010492,,,23.010492,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,54540,127.0.0.1,20000,1,127.0.0.1:54540<->127.0.0.1:20000#s1,14,1784209934.6580803,70,52,0x0018,18,84,1,15,1784209934.6830118,10,0x0018,False,,,,,39,1784209934.8527198,12,78,0x0018,,24.931431,,,194.639444,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,54540,127.0.0.1,20000,1,127.0.0.1:54540<->127.0.0.1:20000#s1,226,1784209936.161882,88,2459,0x0018,15,81,0,227,1784209936.183851,10,0x0018,False,,,,,251,1784209936.3560336,12,78,0x0018,,21.96908,,,194.15164,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36726,127.0.0.1,20000,3,127.0.0.1:36726<->127.0.0.1:20000#s3,381,1784209938.4075317,1,1,0x0018,24,90,20,382,1784209938.4075437,0,0x0010,True,382,1784209938.4075437,1,25,383,1784209938.4305577,17,83,0x0018,129,0.011921,0.011921,23.014069,23.02599,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36726,127.0.0.1,20000,3,127.0.0.1:36726<->127.0.0.1:20000#s3,385,1784209938.4306073,25,18,0x0018,21,87,2,386,1784209938.4521644,17,0x0018,False,,,,,386,1784209938.4521644,17,83,0x0018,129,21.557093,,,21.557093,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36726,127.0.0.1,20000,3,127.0.0.1:36726<->127.0.0.1:20000#s3,387,1784209938.4522393,46,35,0x0018,24,90,20,388,1784209938.4752443,17,0x0018,False,,,,,388,1784209938.4752443,17,83,0x0018,129,23.005009,,,23.005009,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36726,127.0.0.1,20000,3,127.0.0.1:36726<->127.0.0.1:20000#s3,389,1784209938.4753196,70,52,0x0018,18,84,1,390,1784209938.4998546,10,0x0018,False,,,,,414,1784209938.6684048,12,78,0x0018,,24.534941,,,193.085194,0,0,False,False,False,26,2026,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
bounded20-30_crc-split,bounded20-30_crc-split.pcap,bounded20-30_crc-split,False,127.0.0.1,36726,127.0.0.1,20000,3,127.0.0.1:36726<->127.0.0.1:20000#s3,601,1784209939.9799013,88,2459,0x0018,15,81,0,602,1784209940.0018997,10,0x0018,False,,,,,626,1784209940.1717923,12,78,0x0018,,21.998405,,,191.890955,0,0,False,False,False,26,2023,OTHER_OR_AMBIGUOUS,low,first reverse packet neither pure ACK nor DNP3 payload,False
