config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47484,127.0.0.1,20000,1,127.0.0.1:47484<->127.0.0.1:20000#s1,6,1784213755.327253,1,1,0x0018,24,90,20,7,1784213755.327265,0,0x0010,True,7,1784213755.327265,1,25,8,1784213755.3524346,17,83,0x0018,129,0.011921,0.011921,25.169611,25.181532,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47484,127.0.0.1,20000,1,127.0.0.1:47484<->127.0.0.1:20000#s1,10,1784213755.352504,25,18,0x0018,21,87,2,11,1784213755.377924,17,0x0018,False,,,,,11,1784213755.377924,17,83,0x0018,129,25.41995,,,25.41995,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47484,127.0.0.1,20000,1,127.0.0.1:47484<->127.0.0.1:20000#s1,12,1784213755.3779993,46,35,0x0018,24,90,20,13,1784213755.4033208,17,0x0018,False,,,,,13,1784213755.4033208,17,83,0x0018,129,25.321484,,,25.321484,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47484,127.0.0.1,20000,1,127.0.0.1:47484<->127.0.0.1:20000#s1,14,1784213755.403396,70,52,0x0018,18,84,1,15,1784213755.4287117,2407,0x0018,False,,,,,15,1784213755.4287117,2407,2473,0x0018,129,25.315762,,,25.315762,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47484,127.0.0.1,20000,1,127.0.0.1:47484<->127.0.0.1:20000#s1,16,1784213755.428769,88,2459,0x0018,15,81,0,17,1784213755.4541454,1657,0x0018,False,,,,,17,1784213755.4541454,1657,1723,0x0018,129,25.37632,,,25.37632,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47508,127.0.0.1,20000,3,127.0.0.1:47508<->127.0.0.1:20000#s3,27,1784213756.6723635,1,1,0x0018,24,90,20,28,1784213756.6723754,0,0x0010,True,28,1784213756.6723754,1,25,29,1784213756.6975079,17,83,0x0018,129,0.011921,0.011921,25.132418,25.144339,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47508,127.0.0.1,20000,3,127.0.0.1:47508<->127.0.0.1:20000#s3,31,1784213756.697556,25,18,0x0018,21,87,2,32,1784213756.7229433,17,0x0018,False,,,,,32,1784213756.7229433,17,83,0x0018,129,25.387287,,,25.387287,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47508,127.0.0.1,20000,3,127.0.0.1:47508<->127.0.0.1:20000#s3,33,1784213756.7230182,46,35,0x0018,24,90,20,34,1784213756.748304,17,0x0018,False,,,,,34,1784213756.748304,17,83,0x0018,129,25.285721,,,25.285721,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47508,127.0.0.1,20000,3,127.0.0.1:47508<->127.0.0.1:20000#s3,35,1784213756.7483845,70,52,0x0018,18,84,1,36,1784213756.7736778,2407,0x0018,False,,,,,36,1784213756.7736778,2407,2473,0x0018,129,25.29335,,,25.29335,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
sock_nodelay_off_delay025ms,sock_nodelay_off_delay025ms.pcap,sock_nodelay_off_delay025ms,False,127.0.0.1,47508,127.0.0.1,20000,3,127.0.0.1:47508<->127.0.0.1:20000#s3,37,1784213756.773746,88,2459,0x0018,15,81,0,38,1784213756.799169,1657,0x0018,False,,,,,38,1784213756.799169,1657,1723,0x0018,129,25.42305,,,25.42305,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
