config,n,combined,separate,other,separate_frac,separate_lo,separate_hi,nonfirst_n,nonfirst_separate,nonfirst_separate_frac,nonfirst_sep_lo,nonfirst_sep_hi,first_in_conn_separate,req_to_resp_med_ms,req_to_ack_med_ms,ack_to_resp_med_ms,retrans_rate,dup_ack_rate,reset_rate
delay_000ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,0.612617,0.011444,0.726343,0.0,0.0,0.0
delay_001ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,1.267314,0.011683,1.118779,0.0,0.0,0.0
delay_002ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,2.245426,0.011444,2.110958,0.0,0.0,0.0
delay_005ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,5.268455,0.011444,5.114674,0.0,0.0,0.0
delay_010ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,10.267615,0.011444,10.115027,0.0,0.0,0.0
delay_015ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,15.260696,0.011444,15.111685,0.0,0.0,0.0
delay_020ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,20.317316,0.011444,20.119309,0.0,0.0,0.0
delay_025ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,25.369406,0.011206,25.118351,0.0,0.0,0.0
delay_030ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,30.259729,0.011444,30.117154,0.0,0.0,0.0
delay_035ms,100,80,20,0,0.2,0.1334,0.2888,80,0,0.0,0.0,0.0458,20,35.571813,0.011564,35.149693,0.0,0.0,0.0
delay_040ms,100,0,100,0,1.0,0.963,1.0,80,80,1.0,0.9542,1.0,20,40.729881,0.012875,40.717005,0.0,0.0,0.0
delay_050ms,100,0,100,0,1.0,0.963,1.0,80,80,1.0,0.9542,1.0,20,50.239325,0.007749,50.231457,0.0,0.0,0.0
delay_075ms,100,0,100,0,1.0,0.963,1.0,80,80,1.0,0.9542,1.0,20,75.944423,0.015497,75.928568,0.0,0.0,0.0
delay_100ms,100,0,100,0,1.0,0.963,1.0,80,80,1.0,0.9542,1.0,20,100.799679,0.011921,100.789309,0.0,0.0,0.0
