config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,is_first_in_connection
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49976,127.0.0.1,20000,1,127.0.0.1:49976<->127.0.0.1:20000#s1,6,1784210405.2524295,1,1,0x0018,24,90,20,7,1784210405.2524369,0,0x0010,True,7,1784210405.2524369,1,25,8,1784210405.2530267,17,83,0x0018,129,0.007391,0.007391,0.589848,0.597239,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49976,127.0.0.1,20000,1,127.0.0.1:49976<->127.0.0.1:20000#s1,10,1784210405.253061,25,18,0x0018,21,87,2,11,1784210405.2534535,17,0x0018,False,,,,,11,1784210405.2534535,17,83,0x0018,129,0.392437,,,0.392437,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49976,127.0.0.1,20000,1,127.0.0.1:49976<->127.0.0.1:20000#s1,12,1784210405.2534835,46,35,0x0018,24,90,20,13,1784210405.253786,17,0x0018,False,,,,,13,1784210405.253786,17,83,0x0018,129,0.302553,,,0.302553,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49976,127.0.0.1,20000,1,127.0.0.1:49976<->127.0.0.1:20000#s1,14,1784210405.2538157,70,52,0x0018,18,84,1,15,1784210405.2542255,2407,0x0018,False,,,,,15,1784210405.2542255,2407,2473,0x0018,129,0.409842,,,0.409842,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49976,127.0.0.1,20000,1,127.0.0.1:49976<->127.0.0.1:20000#s1,16,1784210405.2542667,88,2459,0x0018,15,81,0,17,1784210405.254745,1657,0x0018,False,,,,,17,1784210405.254745,1657,1723,0x0018,129,0.478268,,,0.478268,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49994,127.0.0.1,20000,3,127.0.0.1:49994<->127.0.0.1:20000#s3,27,1784210406.4727468,1,1,0x0018,24,90,20,28,1784210406.4727585,0,0x0010,True,28,1784210406.4727585,1,25,29,1784210406.4735105,17,83,0x0018,129,0.011683,0.011683,0.751972,0.763655,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49994,127.0.0.1,20000,3,127.0.0.1:49994<->127.0.0.1:20000#s3,31,1784210406.4735782,25,18,0x0018,21,87,2,32,1784210406.474269,17,0x0018,False,,,,,32,1784210406.474269,17,83,0x0018,129,0.690699,,,0.690699,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49994,127.0.0.1,20000,3,127.0.0.1:49994<->127.0.0.1:20000#s3,33,1784210406.4743328,46,35,0x0018,24,90,20,34,1784210406.4749205,17,0x0018,False,,,,,34,1784210406.4749205,17,83,0x0018,129,0.587702,,,0.587702,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49994,127.0.0.1,20000,3,127.0.0.1:49994<->127.0.0.1:20000#s3,35,1784210406.4749908,70,52,0x0018,18,84,1,36,1784210406.475549,2407,0x0018,False,,,,,36,1784210406.475549,2407,2473,0x0018,129,0.558138,,,0.558138,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,49994,127.0.0.1,20000,3,127.0.0.1:49994<->127.0.0.1:20000#s3,37,1784210406.4756174,88,2459,0x0018,15,81,0,38,1784210406.4762516,1657,0x0018,False,,,,,38,1784210406.4762516,1657,1723,0x0018,129,0.634193,,,0.634193,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40110,127.0.0.1,20000,5,127.0.0.1:40110<->127.0.0.1:20000#s5,48,1784210407.6945453,1,1,0x0018,24,90,20,49,1784210407.694557,0,0x0010,True,49,1784210407.694557,1,25,50,1784210407.695318,17,83,0x0018,129,0.011683,0.011683,0.761032,0.772715,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40110,127.0.0.1,20000,5,127.0.0.1:40110<->127.0.0.1:20000#s5,52,1784210407.6953862,25,18,0x0018,21,87,2,53,1784210407.6960819,17,0x0018,False,,,,,53,1784210407.6960819,17,83,0x0018,129,0.695705,,,0.695705,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40110,127.0.0.1,20000,5,127.0.0.1:40110<->127.0.0.1:20000#s5,54,1784210407.6961458,46,35,0x0018,24,90,20,55,1784210407.6967404,17,0x0018,False,,,,,55,1784210407.6967404,17,83,0x0018,129,0.594616,,,0.594616,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40110,127.0.0.1,20000,5,127.0.0.1:40110<->127.0.0.1:20000#s5,56,1784210407.696803,70,52,0x0018,18,84,1,57,1784210407.6974103,2407,0x0018,False,,,,,57,1784210407.6974103,2407,2473,0x0018,129,0.607252,,,0.607252,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40110,127.0.0.1,20000,5,127.0.0.1:40110<->127.0.0.1:20000#s5,58,1784210407.6974576,88,2459,0x0018,15,81,0,59,1784210407.698126,1657,0x0018,False,,,,,59,1784210407.698126,1657,1723,0x0018,129,0.668526,,,0.668526,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40136,127.0.0.1,20000,7,127.0.0.1:40136<->127.0.0.1:20000#s7,69,1784210408.9179037,1,1,0x0018,24,90,20,70,1784210408.9179153,0,0x0010,True,70,1784210408.9179153,1,25,71,1784210408.9186654,17,83,0x0018,129,0.011683,0.011683,0.750065,0.761747,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40136,127.0.0.1,20000,7,127.0.0.1:40136<->127.0.0.1:20000#s7,73,1784210408.9187336,25,18,0x0018,21,87,2,74,1784210408.9194071,17,0x0018,False,,,,,74,1784210408.9194071,17,83,0x0018,129,0.673532,,,0.673532,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40136,127.0.0.1,20000,7,127.0.0.1:40136<->127.0.0.1:20000#s7,75,1784210408.9194708,46,35,0x0018,24,90,20,76,1784210408.9200537,17,0x0018,False,,,,,76,1784210408.9200537,17,83,0x0018,129,0.582933,,,0.582933,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40136,127.0.0.1,20000,7,127.0.0.1:40136<->127.0.0.1:20000#s7,77,1784210408.9201162,70,52,0x0018,18,84,1,78,1784210408.92067,2407,0x0018,False,,,,,78,1784210408.92067,2407,2473,0x0018,129,0.553846,,,0.553846,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40136,127.0.0.1,20000,7,127.0.0.1:40136<->127.0.0.1:20000#s7,79,1784210408.920738,88,2459,0x0018,15,81,0,80,1784210408.9214158,1657,0x0018,False,,,,,80,1784210408.9214158,1657,1723,0x0018,129,0.677824,,,0.677824,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40142,127.0.0.1,20000,9,127.0.0.1:40142<->127.0.0.1:20000#s9,90,1784210410.1401267,1,1,0x0018,24,90,20,91,1784210410.1401381,0,0x0010,True,91,1784210410.1401381,1,25,92,1784210410.1407206,17,83,0x0018,129,0.011444,0.011444,0.582457,0.593901,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,True
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40142,127.0.0.1,20000,9,127.0.0.1:40142<->127.0.0.1:20000#s9,94,1784210410.1407595,25,18,0x0018,21,87,2,95,1784210410.141437,17,0x0018,False,,,,,95,1784210410.141437,17,83,0x0018,129,0.677586,,,0.677586,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40142,127.0.0.1,20000,9,127.0.0.1:40142<->127.0.0.1:20000#s9,96,1784210410.1414673,46,35,0x0018,24,90,20,97,1784210410.1420708,17,0x0018,False,,,,,97,1784210410.1420708,17,83,0x0018,129,0.603437,,,0.603437,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,False
delay_000ms,delay_000ms.pcap,delay_000ms,False,127.0.0.1,40142,127.0.0.1,20000,9,127.0.0.1:40142<->127.0.0.1:20000#s9,98,1784210410.1420982,70,52,0x0018,18,84,1,99,1784210410.1426742,2407,0x0018,False,,,,,99,1784210410.1426742,2407,2473,0x0018,129,0.576019,,,0.576019,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,False
