config,capture,device_label,is_reference,master_ip,master_port,outstation_ip,outstation_port,tcp_stream,connection_id,req_frame,req_time_epoch,req_seq,req_ack,req_flags,req_tcp_len,req_ip_len,req_func,first_rev_frame,first_rev_time_epoch,first_rev_tcp_len,first_rev_flags,pure_ack_present,pure_ack_frame,pure_ack_time_epoch,pure_ack_seq,pure_ack_ack,resp_frame,resp_time_epoch,resp_tcp_len,resp_ip_len,resp_flags,resp_func,req_to_first_rev_ms,req_to_pure_ack_ms,pure_ack_to_resp_ms,req_to_resp_ms,retransmission_count,duplicate_ack_count,out_of_order,reset,missing_response,packet_count,transaction_ip_bytes,classification,classification_confidence,ambiguity_reason,ack_mode,response_delivery,is_first_in_connection
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57132,127.0.0.1,20000,1,127.0.0.1:57132<->127.0.0.1:20000#s1,6,1784212188.0917273,1,1,0x0018,24,90,20,7,1784212188.091739,0,0x0010,True,7,1784212188.091739,1,25,8,1784212188.1268566,17,83,0x0018,129,0.011683,0.011683,35.117626,35.129309,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57132,127.0.0.1,20000,1,127.0.0.1:57132<->127.0.0.1:20000#s1,10,1784212188.126937,25,18,0x0018,21,87,2,11,1784212188.162262,17,0x0018,False,,,,,11,1784212188.162262,17,83,0x0018,129,35.32505,,,35.32505,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57132,127.0.0.1,20000,1,127.0.0.1:57132<->127.0.0.1:20000#s1,12,1784212188.1623366,46,35,0x0018,24,90,20,13,1784212188.1975923,17,0x0018,False,,,,,13,1784212188.1975923,17,83,0x0018,129,35.255671,,,35.255671,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57132,127.0.0.1,20000,1,127.0.0.1:57132<->127.0.0.1:20000#s1,14,1784212188.1976662,70,52,0x0018,18,84,1,15,1784212188.233463,2407,0x0018,False,,,,,15,1784212188.233463,2407,2473,0x0018,129,35.796881,,,35.796881,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57132,127.0.0.1,20000,1,127.0.0.1:57132<->127.0.0.1:20000#s1,16,1784212188.233566,88,2459,0x0018,15,81,0,17,1784212188.2695236,1657,0x0018,False,,,,,17,1784212188.2695236,1657,1723,0x0018,129,35.957575,,,35.957575,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57142,127.0.0.1,20000,3,127.0.0.1:57142<->127.0.0.1:20000#s3,27,1784212189.487689,1,1,0x0018,24,90,20,28,1784212189.4877002,0,0x0010,True,28,1784212189.4877002,1,25,29,1784212189.5228493,17,83,0x0018,129,0.011206,0.011206,35.149097,35.160303,0,0,False,False,False,3,239,SEPARATE_ACK_RESPONSE,high,,SEPARATE,FULL,True
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57142,127.0.0.1,20000,3,127.0.0.1:57142<->127.0.0.1:20000#s3,31,1784212189.5229065,25,18,0x0018,21,87,2,32,1784212189.5583403,17,0x0018,False,,,,,32,1784212189.5583403,17,83,0x0018,129,35.433769,,,35.433769,0,0,False,False,False,2,170,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57142,127.0.0.1,20000,3,127.0.0.1:57142<->127.0.0.1:20000#s3,33,1784212189.5583951,46,35,0x0018,24,90,20,34,1784212189.5941572,17,0x0018,False,,,,,34,1784212189.5941572,17,83,0x0018,129,35.762072,,,35.762072,0,0,False,False,False,2,173,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57142,127.0.0.1,20000,3,127.0.0.1:57142<->127.0.0.1:20000#s3,35,1784212189.5942883,70,52,0x0018,18,84,1,36,1784212189.6303167,2407,0x0018,False,,,,,36,1784212189.6303167,2407,2473,0x0018,129,36.028385,,,36.028385,0,0,False,False,False,2,2557,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
delay_035ms,delay_035ms.pcap,delay_035ms,False,127.0.0.1,57142,127.0.0.1,20000,3,127.0.0.1:57142<->127.0.0.1:20000#s3,37,1784212189.6304514,88,2459,0x0018,15,81,0,38,1784212189.6660254,1657,0x0018,False,,,,,38,1784212189.6660254,1657,1723,0x0018,129,35.573959,,,35.573959,0,0,False,False,False,2,1804,COMBINED_ACK_RESPONSE,high,,COMBINED,FULL,False
