scope,metric,count,min,median,mean,std,p90,p95,p99,p99_9,max
SEL751,readiness_all,2098,14.2829,15.9633,16.8091,2.2581,19.7595,20.958,25.7155,31.3281,35.0618
SEL751,readiness_first,2,15.116,17.7259,17.7259,2.61,19.8139,20.0749,20.2837,20.3307,20.3359
SEL751,readiness_nonfirst,2096,14.2829,15.9633,16.8082,2.2576,19.7566,20.962,25.7158,31.3321,35.0618
SEL751,req_to_pure_ack,2098,3.088,3.7916,4.0543,1.1547,4.766,5.1157,8.5824,15.5984,17.1261
SEL751,pure_ack_to_resp,2098,0.742,12.008,12.7547,2.087,15.377,16.6511,21.0134,25.0718,31.7049
AB1400,readiness_all,1198,14.694,16.3269,16.4288,2.4005,17.2879,17.4912,17.9106,21.8824,95.288
AB1400,readiness_first,2,16.417,16.8445,16.8445,0.4275,17.1865,17.2292,17.2634,17.2711,17.272
AB1400,readiness_nonfirst,1196,14.694,16.3264,16.4281,2.4024,17.2884,17.4913,17.9117,21.8836,95.288
ION7550,readiness_all,2398,15.208,15.959,16.099,1.785,16.4207,16.6422,19.1108,22.3244,97.9919
ION7550,readiness_first,2,15.923,16.258,16.258,0.335,16.526,16.5595,16.5863,16.5923,16.593
ION7550,readiness_nonfirst,2396,15.208,15.959,16.0989,1.7857,16.4191,16.6424,19.1114,22.3255,97.9919
POOLED,readiness_all,5694,14.2829,16.0099,16.43,2.1289,17.7485,19.3149,23.0145,29.3852,97.9919
POOLED,readiness_first,6,15.116,16.505,16.9428,1.6532,18.804,19.5699,20.1827,20.3206,20.3359
POOLED,readiness_nonfirst,5688,14.2829,16.0098,16.4295,2.1292,17.7465,19.304,23.0199,29.3863,97.9919
