row_type,requested_delay_ms,reps,rtt_ms_mean,rtt_ms_max,retransmissions_sum,retransmissions_max,duplicate_acks_sum,duplicate_acks_max,resets,responses_ok,peer_rto_ms_mean,peer_rto_ms_max,retrans_method,rep,rtt_ms,response_received,reset,retransmissions,duplicate_acks,peer_rto_ms
aggregate,0,20,0.131,0.173,0,0,,,0,20,211.4,212,ss,,,,,,,
aggregate,1,20,1.29,1.676,0,0,,,0,20,211.4,212,ss,,,,,,,
aggregate,2,20,2.239,2.691,0,0,,,0,20,211.2,212,ss,,,,,,,
aggregate,5,20,5.208,5.306,0,0,,,0,20,211.2,212,ss,,,,,,,
aggregate,10,20,10.261,10.747,0,0,,,0,20,211.2,212,ss,,,,,,,
aggregate,20,20,20.239,20.646,0,0,,,0,20,211.6,212,ss,,,,,,,
aggregate,50,20,50.33,50.676,0,0,,,0,20,215.8,216,ss,,,,,,,
aggregate,100,20,100.442,100.776,0,0,,,0,20,215.2,216,ss,,,,,,,
raw,0,,,,,,,,,,,,ss,0,0.157,True,False,0,,204
raw,1,,,,,,,,,,,,ss,0,1.169,True,False,0,,204
raw,2,,,,,,,,,,,,ss,0,2.183,True,False,0,,204
raw,5,,,,,,,,,,,,ss,0,5.152,True,False,0,,204
raw,10,,,,,,,,,,,,ss,0,10.146,True,False,0,,204
raw,20,,,,,,,,,,,,ss,0,20.193,True,False,0,,208
raw,50,,,,,,,,,,,,ss,0,50.232,True,False,0,,212
raw,100,,,,,,,,,,,,ss,0,100.772,True,False,0,,208
raw,0,,,,,,,,,,,,ss,1,0.129,True,False,0,,208
raw,1,,,,,,,,,,,,ss,1,1.676,True,False,0,,208
raw,2,,,,,,,,,,,,ss,1,2.213,True,False,0,,208
raw,5,,,,,,,,,,,,ss,1,5.208,True,False,0,,208
raw,10,,,,,,,,,,,,ss,1,10.254,True,False,0,,208
raw,20,,,,,,,,,,,,ss,1,20.399,True,False,0,,208
raw,50,,,,,,,,,,,,ss,1,50.232,True,False,0,,216
raw,100,,,,,,,,,,,,ss,1,100.326,True,False,0,,212
raw,0,,,,,,,,,,,,ss,2,0.159,True,False,0,,212
raw,1,,,,,,,,,,,,ss,2,1.269,True,False,0,,212
raw,2,,,,,,,,,,,,ss,2,2.277,True,False,0,,208
raw,5,,,,,,,,,,,,ss,2,5.277,True,False,0,,208
raw,10,,,,,,,,,,,,ss,2,10.747,True,False,0,,208
raw,20,,,,,,,,,,,,ss,2,20.298,True,False,0,,212
raw,50,,,,,,,,,,,,ss,2,50.67,True,False,0,,216
raw,100,,,,,,,,,,,,ss,2,100.773,True,False,0,,212
raw,0,,,,,,,,,,,,ss,3,0.134,True,False,0,,212
raw,1,,,,,,,,,,,,ss,3,1.624,True,False,0,,212
raw,2,,,,,,,,,,,,ss,3,2.307,True,False,0,,212
raw,5,,,,,,,,,,,,ss,3,5.212,True,False,0,,212
raw,10,,,,,,,,,,,,ss,3,10.168,True,False,0,,212
raw,20,,,,,,,,,,,,ss,3,20.182,True,False,0,,212
raw,50,,,,,,,,,,,,ss,3,50.245,True,False,0,,216
raw,100,,,,,,,,,,,,ss,3,100.497,True,False,0,,216
raw,0,,,,,,,,,,,,ss,4,0.111,True,False,0,,212
raw,1,,,,,,,,,,,,ss,4,1.162,True,False,0,,212
raw,2,,,,,,,,,,,,ss,4,2.142,True,False,0,,212
raw,5,,,,,,,,,,,,ss,4,5.147,True,False,0,,212
raw,10,,,,,,,,,,,,ss,4,10.165,True,False,0,,212
raw,20,,,,,,,,,,,,ss,4,20.218,True,False,0,,212
raw,50,,,,,,,,,,,,ss,4,50.665,True,False,0,,216
raw,100,,,,,,,,,,,,ss,4,100.257,True,False,0,,216
raw,0,,,,,,,,,,,,ss,5,0.106,True,False,0,,212
raw,1,,,,,,,,,,,,ss,5,1.147,True,False,0,,212
raw,2,,,,,,,,,,,,ss,5,2.26,True,False,0,,212
raw,5,,,,,,,,,,,,ss,5,5.232,True,False,0,,212
raw,10,,,,,,,,,,,,ss,5,10.541,True,False,0,,212
raw,20,,,,,,,,,,,,ss,5,20.248,True,False,0,,212
raw,50,,,,,,,,,,,,ss,5,50.235,True,False,0,,216
raw,100,,,,,,,,,,,,ss,5,100.776,True,False,0,,216
raw,0,,,,,,,,,,,,ss,6,0.142,True,False,0,,212
raw,1,,,,,,,,,,,,ss,6,1.668,True,False,0,,212
raw,2,,,,,,,,,,,,ss,6,2.194,True,False,0,,212
raw,5,,,,,,,,,,,,ss,6,5.201,True,False,0,,212
raw,10,,,,,,,,,,,,ss,6,10.217,True,False,0,,212
raw,20,,,,,,,,,,,,ss,6,20.211,True,False,0,,212
raw,50,,,,,,,,,,,,ss,6,50.66,True,False,0,,216
raw,100,,,,,,,,,,,,ss,6,100.376,True,False,0,,216
raw,0,,,,,,,,,,,,ss,7,0.132,True,False,0,,212
raw,1,,,,,,,,,,,,ss,7,1.203,True,False,0,,212
raw,2,,,,,,,,,,,,ss,7,2.203,True,False,0,,212
raw,5,,,,,,,,,,,,ss,7,5.224,True,False,0,,212
raw,10,,,,,,,,,,,,ss,7,10.194,True,False,0,,212
raw,20,,,,,,,,,,,,ss,7,20.257,True,False,0,,212
raw,50,,,,,,,,,,,,ss,7,50.239,True,False,0,,216
raw,100,,,,,,,,,,,,ss,7,100.42,True,False,0,,216
raw,0,,,,,,,,,,,,ss,8,0.153,True,False,0,,212
raw,1,,,,,,,,,,,,ss,8,1.199,True,False,0,,212
raw,2,,,,,,,,,,,,ss,8,2.381,True,False,0,,212
raw,5,,,,,,,,,,,,ss,8,5.306,True,False,0,,212
raw,10,,,,,,,,,,,,ss,8,10.421,True,False,0,,212
raw,20,,,,,,,,,,,,ss,8,20.646,True,False,0,,212
raw,50,,,,,,,,,,,,ss,8,50.278,True,False,0,,216
raw,100,,,,,,,,,,,,ss,8,100.742,True,False,0,,216
raw,0,,,,,,,,,,,,ss,9,0.144,True,False,0,,212
raw,1,,,,,,,,,,,,ss,9,1.645,True,False,0,,212
raw,2,,,,,,,,,,,,ss,9,2.691,True,False,0,,212
raw,5,,,,,,,,,,,,ss,9,5.23,True,False,0,,212
raw,10,,,,,,,,,,,,ss,9,10.515,True,False,0,,212
raw,20,,,,,,,,,,,,ss,9,20.186,True,False,0,,212
raw,50,,,,,,,,,,,,ss,9,50.487,True,False,0,,216
raw,100,,,,,,,,,,,,ss,9,100.298,True,False,0,,216
raw,0,,,,,,,,,,,,ss,10,0.14,True,False,0,,212
raw,1,,,,,,,,,,,,ss,10,1.16,True,False,0,,212
raw,2,,,,,,,,,,,,ss,10,2.151,True,False,0,,212
raw,5,,,,,,,,,,,,ss,10,5.156,True,False,0,,212
raw,10,,,,,,,,,,,,ss,10,10.157,True,False,0,,212
raw,20,,,,,,,,,,,,ss,10,20.174,True,False,0,,212
raw,50,,,,,,,,,,,,ss,10,50.164,True,False,0,,216
raw,100,,,,,,,,,,,,ss,10,100.275,True,False,0,,216
raw,0,,,,,,,,,,,,ss,11,0.098,True,False,0,,212
raw,1,,,,,,,,,,,,ss,11,1.2,True,False,0,,212
