device,ack_mode,observable,variant,n,median_ms,p95_ms,p99_ms,max_ms,mean_ms,stdev_ms,cv
AB1400,combined,request_to_response_ms,native,2398,16.318,17.454,17.911,95.288,16.375,1.928,0.1177
AB1400,combined,request_to_response_ms,fixed_25ms,2398,25.0,25.0,25.0,95.288,25.041,1.541,0.0615
AB1400,combined,request_to_response_ms,bounded_20_30ms,2398,24.954,29.492,29.907,95.288,24.986,3.279,0.1312
ION7550,combined,request_to_response_ms,native,4798,15.994,16.756,20.246,97.992,16.187,1.743,0.1077
ION7550,combined,request_to_response_ms,fixed_25ms,4798,25.0,25.0,25.0,97.992,25.034,1.281,0.0512
ION7550,combined,request_to_response_ms,bounded_20_30ms,4798,25.028,29.442,29.903,97.992,25.01,3.136,0.1254
SEL751,separate,request_to_response_ms,native,4298,16.13,21.083,29.521,170.802,17.4,6.758,0.3884
SEL751,separate,request_to_response_ms,fixed_25ms,4298,25.0,25.0,29.521,170.802,25.428,5.834,0.2294
SEL751,separate,request_to_response_ms,bounded_20_30ms,4298,25.16,29.52,29.985,170.802,25.442,6.479,0.2547
SEL751,separate,ack_to_response_gap_ms,native,4298,12.212,17.152,25.113,165.98,13.449,6.733,0.5006
SEL751,separate,ack_to_response_gap_ms,response-delay-only,4298,20.212,25.152,33.112,173.98,21.449,6.733,0.3139
SEL751,separate,ack_to_response_gap_ms,ack-delay-only,4298,4.212,9.152,17.112,157.98,5.452,6.73,1.2344
SEL751,separate,ack_to_response_gap_ms,gap-normalized,4298,20.0,20.0,20.0,20.0,20.0,0.0,0.0
