txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785017802.500279893,2528248555,22,32,74,88,1,0,0,1,0,True,2528248577,5,1785017802.500778247,2634773277,2528248577,0,32,52,66,6,1785017802.537993584,2634773277,2528248577,54,32,106,120,129,0,0,0,1,True,54,37.215337,37215337,0.498354,438.161486,,,,False,True,,
1,0,8,1785017802.938441379,2528248577,22,32,74,88,1,1,0,1,0,True,2528248599,9,1785017802.939972643,2634773331,2528248599,0,32,52,66,10,1785017802.941033450,2634773331,2528248599,54,32,106,120,129,1,1,0,1,True,54,1.060807,1060807,1.531264,403.025613,400.447795,,,False,False,,
2,0,12,1785017803.341466992,2528248599,22,32,74,88,1,2,0,1,0,True,2528248621,13,1785017803.341927391,2634773385,2528248621,0,32,52,66,14,1785017803.343014554,2634773385,2528248621,54,32,106,120,129,2,2,0,1,True,54,1.087163,1087163,0.460399,402.004024,400.433542,,,False,False,,
3,0,16,1785017803.743471016,2528248621,22,32,74,88,1,3,0,1,0,True,2528248643,17,1785017803.744475042,2634773439,2528248643,0,32,52,66,18,1785017803.745618403,2634773439,2528248643,54,32,106,120,129,3,3,0,1,True,54,1.143361,1143361,1.004026,402.583180,400.456462,,,False,False,,
4,0,20,1785017804.146054196,2528248643,22,32,74,88,1,4,0,1,0,True,2528248665,21,1785017804.146548275,2634773493,2528248665,0,32,52,66,22,1785017804.148579041,2634773493,2528248665,54,32,106,120,129,4,4,0,1,True,54,2.030766,2030766,0.494079,402.956980,400.435793,,,False,False,,
5,0,24,1785017804.549011176,2528248665,22,32,74,88,1,5,0,1,0,True,2528248687,25,1785017804.549523892,2634773547,2528248687,0,32,52,66,26,1785017804.554706576,2634773547,2528248687,54,32,106,120,129,5,5,0,1,True,54,5.182684,5182684,0.512716,406.170005,400.432135,,,False,False,,
6,0,28,1785017804.955181181,2528248687,22,32,74,88,1,6,0,1,0,True,2528248709,29,1785017804.955684838,2634773601,2528248709,0,32,52,66,30,1785017804.957770516,2634773601,2528248709,54,32,106,120,129,6,6,0,1,True,54,2.085678,2085678,0.503657,403.035856,400.474605,,,False,False,,
7,0,32,1785017805.358217037,2528248709,22,32,74,88,1,7,0,1,0,True,2528248731,33,1785017805.358842085,2634773655,2528248731,0,32,52,66,34,1785017805.359911831,2634773655,2528248731,54,32,106,120,129,7,7,0,1,True,54,1.069746,1069746,0.625048,402.128917,400.446521,,,False,False,,
8,0,36,1785017805.760345954,2528248731,22,32,74,88,1,8,0,1,0,True,2528248753,37,1785017805.763076353,2634773709,2528248753,0,32,52,66,38,1785017805.764678991,2634773709,2528248753,54,32,106,120,129,8,8,0,1,True,54,1.602638,1602638,2.730399,404.764346,400.434123,,,False,False,,
9,0,40,1785017806.165110300,2528248753,22,32,74,88,1,9,0,1,0,True,2528248775,41,1785017806.166211166,2634773763,2528248775,0,32,52,66,42,1785017806.175270376,2634773763,2528248775,54,32,106,120,129,9,9,0,1,True,54,9.059210,9059210,1.100866,410.602187,400.431309,,,False,False,,
10,0,44,1785017806.575712487,2528248775,22,32,74,88,1,10,0,1,0,True,2528248797,45,1785017806.576214709,2634773817,2528248797,0,32,52,66,46,1785017806.579810892,2634773817,2528248797,54,32,106,120,129,10,10,0,1,True,54,3.596183,3596183,0.502222,404.529737,400.442111,,,False,False,,
11,0,48,1785017806.980242224,2528248797,22,32,74,88,1,11,0,1,0,True,2528248819,49,1785017806.980697724,2634773871,2528248819,0,32,52,66,50,1785017806.981777601,2634773871,2528248819,54,32,106,120,129,11,11,0,1,True,54,1.079877,1079877,0.455500,401.954923,400.431332,,,False,False,,
12,0,52,1785017807.382197147,2528248819,22,32,74,88,1,12,0,1,0,True,2528248841,53,1785017807.383305299,2634773925,2528248841,0,32,52,66,54,1785017807.384389885,2634773925,2528248841,54,32,106,120,129,12,12,0,1,True,54,1.084586,1084586,1.108152,,400.419546,,,False,False,,
