txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785028589.622103949,2334819144,22,32,74,88,1,0,0,1,0,True,2334819166,5,1785028589.622665330,2052936997,2334819166,0,32,52,66,6,1785028589.644360587,2052936997,2334819166,54,32,106,120,129,0,28,0,1,True,54,21.695257,21695257,0.561381,400.172156,,,,False,False,,
1,0,8,1785028590.022276105,2334819166,22,32,74,88,1,1,0,1,0,True,2334819188,9,1785028590.022682511,2052937051,2334819188,0,32,52,66,10,1785028590.023844931,2052937051,2334819188,54,32,106,120,129,1,29,0,1,True,54,1.162420,1162420,0.406406,399.978130,377.915518,,,False,False,,
2,0,12,1785028590.422254235,2334819188,22,32,74,88,1,2,0,1,0,True,2334819210,13,1785028590.422761233,2052937105,2334819210,0,32,52,66,14,1785028590.423863095,2052937105,2334819210,54,32,106,120,129,2,30,0,1,True,54,1.101862,1101862,0.506998,399.977798,398.409304,,,False,False,,
3,0,16,1785028590.822232033,2334819210,22,32,74,88,1,3,0,1,0,True,2334819232,17,1785028590.822731700,2052937159,2334819232,0,32,52,66,18,1785028590.823968930,2052937159,2334819232,54,32,106,120,129,3,31,0,1,True,54,1.237230,1237230,0.499667,400.002427,398.368938,,,False,False,,
4,0,20,1785028591.222234460,2334819232,22,32,74,88,1,4,0,1,0,True,2334819254,21,1785028591.222693866,2052937213,2334819254,0,32,52,66,22,1785028591.224337420,2052937213,2334819254,54,32,106,120,129,4,32,0,1,True,54,1.643554,1643554,0.459406,400.000659,398.265530,,,False,False,,
5,0,24,1785028591.622235119,2334819254,22,32,74,88,1,5,0,1,0,True,2334819276,25,1785028591.622715514,2052937267,2334819276,0,32,52,66,26,1785028591.624335261,2052937267,2334819276,54,32,106,120,129,5,33,0,1,True,54,1.619747,1619747,0.480395,399.999470,397.897699,,,False,False,,
6,0,28,1785028592.022234589,2334819276,22,32,74,88,1,6,0,1,0,True,2334819298,29,1785028592.022671900,2052937321,2334819298,0,32,52,66,30,1785028592.024456554,2052937321,2334819298,54,32,106,120,129,6,34,0,1,True,54,1.784654,1784654,0.437311,400.017490,397.899328,,,False,False,,
7,0,32,1785028592.422252079,2334819298,22,32,74,88,1,7,0,1,0,True,2334819320,33,1785028592.422758367,2052937375,2334819320,0,32,52,66,34,1785028592.423856020,2052937375,2334819320,54,32,106,120,129,7,35,0,1,True,54,1.097653,1097653,0.506288,399.993791,397.795525,,,False,False,,
8,0,36,1785028592.822245870,2334819320,22,32,74,88,1,8,0,1,0,True,2334819342,37,1785028592.822662296,2052937429,2334819342,0,32,52,66,38,1785028592.823888281,2052937429,2334819342,54,32,106,120,129,8,36,0,1,True,54,1.225985,1225985,0.416426,400.007032,398.389850,,,False,False,,
9,0,40,1785028593.222252902,2334819342,22,32,74,88,1,9,0,1,0,True,2334819364,41,1785028593.222737786,2052937483,2334819364,0,32,52,66,42,1785028593.224537187,2052937483,2334819364,54,32,106,120,129,9,37,0,1,True,54,1.799401,1799401,0.484884,399.985793,398.364621,,,False,False,,
